id,name,entity_type,organization_id,person_id,bill_id,primary,classification
5a17279b-2b90-4f6b-b1a5-38e7bc631b89,Bill M. Gannon,person,,,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,True,primary
22877983-1ed1-4dcb-a9a0-6646f43ed056,Ruth Ward,person,,ocd-person/9089a509-1f26-4770-adc6-199ed716e692,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,False,cosponsor
70c0c2f5-f1fb-4a3c-8fa7-4892dc6947e4,James P. Gray,person,,ocd-person/e6443187-eb51-42eb-8bd7-349ed0ba9641,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,False,cosponsor
1ed5497a-6640-4ebc-84f3-8b0fdc9fce05,Joseph A. Guthrie,person,,ocd-person/772f5157-b959-4aed-beaa-6bd67ab8fefe,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,False,cosponsor
399763f1-fb22-4440-a8e7-5604e9d3a407,Regina Birdsell,person,,ocd-person/461c9024-c8c3-44a5-91d6-015a6587db5f,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,False,cosponsor
ffc40f62-0d82-4668-92c3-56f06b6d3e6b,Donna M. Soucy,person,,ocd-person/bfbbacfd-e12a-4e07-970e-c2c2c006f4a2,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,False,cosponsor
7f924de9-21b9-4e61-a123-a7bd321a9d6b,David H. Watters,person,,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,False,cosponsor
f2d1d480-c838-4e92-9cbd-e7c5200a95fa,Kevin G. Verville,person,,ocd-person/9d10ccec-b571-4eea-b025-9ed7634b6516,ocd-bill/375283f8-de2b-4c1b-88f1-b63522439fc5,False,cosponsor
7748c7ce-9bec-4c94-8856-3bab1e634143,Gregory G. Hill,person,,ocd-person/852df922-484b-412f-a604-c2d67efee5ec,ocd-bill/375283f8-de2b-4c1b-88f1-b63522439fc5,False,cosponsor
5993c922-e9b5-4dfc-8bf1-1a6e706023e2,Carol M. McGuire,person,,ocd-person/ae3d6133-98b5-444e-b95e-2edc2f5302dc,ocd-bill/375283f8-de2b-4c1b-88f1-b63522439fc5,True,primary
06ebb5d8-bb61-45b9-b6bc-0038c65d57d2,Frances E. Nutter-Upham,person,,ocd-person/9c5c8165-5f7d-4348-9466-331f9b250536,ocd-bill/019f5a25-6387-4d07-888e-8a26c085e27e,True,primary
87edae5a-5198-4998-8e26-6dce34399bd9,Wendy E. N Thomas,person,,,ocd-bill/019f5a25-6387-4d07-888e-8a26c085e27e,False,cosponsor
5a385640-7cb9-4aff-bc9c-7b42bedcdb34,Nancy A. Murphy,person,,ocd-person/0ac05fa7-143f-4ae9-8ac8-99de42d21779,ocd-bill/019f5a25-6387-4d07-888e-8a26c085e27e,False,cosponsor
b3dec2ff-c4ea-4d95-865b-73f3b66a47ac,Ellen D. Read,person,,ocd-person/77304532-17fb-4b2c-aed6-213a435e4a46,ocd-bill/019f5a25-6387-4d07-888e-8a26c085e27e,False,cosponsor
67ec2c8a-a1e5-45e6-afa6-d65d5d947127,Howard Pearl,person,,ocd-person/c4122c6a-ed23-492e-b813-59a0fed1ec86,ocd-bill/3b38337b-28d3-4837-b6fb-d5f508a2c445,False,cosponsor
84ef5111-b56f-48c2-8c17-96b58b1d75a4,Timothy Lang,person,,ocd-person/5330ad05-ce69-47c0-9093-6286233c7a7d,ocd-bill/3b38337b-28d3-4837-b6fb-d5f508a2c445,True,primary
e51208df-94fa-4326-818b-d078e20f7291,Mike Bordes,person,,ocd-person/c924901e-1cc8-4574-ae7c-19f3e52d2031,ocd-bill/3b38337b-28d3-4837-b6fb-d5f508a2c445,False,cosponsor
29d0a4be-74e8-4198-be5d-f8c196588a4a,Kevin A. Avard,person,,ocd-person/b99b0bbb-4710-43c7-a6b5-0e04524eedf0,ocd-bill/3b38337b-28d3-4837-b6fb-d5f508a2c445,False,cosponsor
