created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2021-11-22 11:16:28.802859+00:00,2023-01-19 12:27:47.639703+00:00,{},ocd-organization/3a542d88-58c1-4dc8-b70d-c28845457764,Fish and Game and Marine Resources,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=28', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=28', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.426789+00:00,2023-01-19 12:27:48.004878+00:00,{},ocd-organization/c8763a6e-9ccb-4e11-97aa-2d1ba7b5155b,Rules,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=14', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=14', 'note': 'homepage'}]",[]
2021-11-22 11:16:28.598589+00:00,2023-01-19 12:27:48.374361+00:00,{},ocd-organization/fe32ca77-e79b-4a7a-becb-0e55e998c0bb,State-Federal Relations and Veterans Affairs,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=16', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=16', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.079175+00:00,2023-01-19 12:27:48.744875+00:00,{},ocd-organization/7e634b09-3a42-43f7-8277-013187e68457,Transportation,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=18', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=18', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.838794+00:00,2023-01-19 12:27:49.125161+00:00,{},ocd-organization/e5c0c443-48bc-4f73-bb95-6ea5f4896429,Finance,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=22', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=22', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.218876+00:00,2023-01-19 12:27:49.498124+00:00,{},ocd-organization/16cf2485-c815-4c01-80da-89a4b1e2957b,Executive Departments and Administration,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=3', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=3', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.046731+00:00,2023-01-19 12:27:49.866156+00:00,{},ocd-organization/9f0c8c8b-6975-41ba-af5d-75d036a94404,Municipal and County Government,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=11', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=11', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.502670+00:00,2023-01-19 12:27:50.233678+00:00,{},ocd-organization/0d3b3c46-c395-4cb3-ab79-3d2176cf9c99,Children and Family Law,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=24', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=24', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.574780+00:00,2023-01-19 12:27:50.601492+00:00,{},ocd-organization/eb0d934e-b167-4d17-af64-1ee993ff77f3,"Science, Technology and Energy",ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=15', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=15', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.287178+00:00,2023-01-19 12:27:50.968603+00:00,{},ocd-organization/430fec11-2695-46d4-9f96-49b2e2c82dfb,Environment and Agriculture,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=2', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=2', 'note': 'homepage'}]",[]
