id,vote_event_id,option,voter_name,voter_id,note
63d1adf4-5f69-470a-adb4-3780c7031af8,ocd-vote/2ccf0771-2c02-4975-8d4e-5eb0d30cee55,yes,Phyllis M. Katsakiores,ocd-person/19404ada-b556-4609-9814-f19db9c0a0ad,
851fe17f-7ab5-4236-848c-d8c7bd29782b,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Lou D'Allesandro,ocd-person/87c48788-817d-408b-a1e1-ebe1c9fd893d,
b836b171-1dac-4d86-ac50-e846bf88904b,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Sharon M. Carson,ocd-person/00964fc0-dd57-44c3-87bf-b6d5bbc34560,
5cfd7da4-1d6c-4714-8fc7-f5f603e15238,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Jeb Bradley,ocd-person/3f5455e8-256e-4442-9c13-bc14f62ce76f,
a15a7aaa-637f-4b2f-ae58-59679892371d,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,David H. Watters,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,
01460d88-3044-4272-a8f1-43a1a0743fc6,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Donna M. Soucy,ocd-person/bfbbacfd-e12a-4e07-970e-c2c2c006f4a2,
98d605f2-0c07-49e4-b8ce-d49178feb5ae,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Kevin A. Avard,ocd-person/b99b0bbb-4710-43c7-a6b5-0e04524eedf0,
cbcd5ad4-eb2f-418d-8ffa-7efe38b4e393,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Regina Birdsell,ocd-person/461c9024-c8c3-44a5-91d6-015a6587db5f,
25daf0d8-0865-43ca-b7e1-42da4da44f1d,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Shannon E. Chandley,ocd-person/92b62a3f-15ef-4cd6-9073-14d32a3eb74b,
600bef8e-01e0-4655-a551-d4b9d8a825fc,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Cindy Rosenwald,ocd-person/f3e949ce-6d98-4826-bbca-08039cea4ea4,
1c43a0b4-2dd0-4b84-91f6-142efc97220c,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,James P. Gray,ocd-person/e6443187-eb51-42eb-8bd7-349ed0ba9641,
374e4ade-feed-4663-ad1a-ed0613229040,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Ruth Ward,ocd-person/9089a509-1f26-4770-adc6-199ed716e692,
cd94e5f8-bcb1-47ee-8543-7ad3fd1511bc,ocd-vote/038603da-dd85-408f-874f-de409241afc6,other,Bill M. Gannon,,
2feb9b7b-018f-4951-a4a2-b901c2636f28,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Daniel E. Innis,ocd-person/6328e7f7-d952-4d28-98b8-75a9a6f50c8d,
0dc4ccb8-d1c6-4852-bbb9-a67d83042b9b,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Suzanne M. Prentiss,,
3b6a0b1c-55c1-42b4-9070-362053030dd4,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Denise Ricciardi,ocd-person/8dc59c94-caba-41b2-a6ba-6bca0f595118,
c9cf484f-e9af-4398-b0cd-a83a9a2f2901,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Rebecca G. Whitley,ocd-person/92267d4c-e6f1-4f45-87be-83f229c2cd36,
d53cef62-9462-4708-914d-140ed7fd378f,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Rebecca Perkins Kwoka,ocd-person/c20b7693-7f2c-4646-af7f-d57518edd1a4,
dd9df43c-0af3-4c6b-9307-8bc92d10f254,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Carrie L. Gendreau,ocd-person/33ce9791-5bd7-4f8a-a0a3-5aaf1c3efe22,
2610e30b-a226-4216-9792-0534c13d6c24,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Timothy Lang,ocd-person/5330ad05-ce69-47c0-9093-6286233c7a7d,
875e45b7-84f4-4f14-ba63-db65a653bfb2,ocd-vote/038603da-dd85-408f-874f-de409241afc6,yes,Donovan Fenton,ocd-person/8e013e93-3dd2-4530-a42f-d9ba62ea5f04,
