id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/fa269e5a-f561-49cb-9078-52bebde4ee77,SB 67,relative to changes to certain weights and measures statutes.,['bill'],[],2023,New Hampshire,upper
ocd-bill/375283f8-de2b-4c1b-88f1-b63522439fc5,HB 157,relative to the joint committee on legislative facilities and sexual harassment policies.,['bill'],[],2023,New Hampshire,lower
ocd-bill/019f5a25-6387-4d07-888e-8a26c085e27e,HB 308,relative to a quorum for meetings open to the public to include remote presence.,['bill'],[],2023,New Hampshire,lower
ocd-bill/3b38337b-28d3-4837-b6fb-d5f508a2c445,SB 225,establishing the commission to study the assessing of power generation.,['bill'],[],2023,New Hampshire,upper
ocd-bill/fc641635-3112-48d9-9fef-fa22ad18d324,HB 288,relative to taxation of sole proprietorship businesses.,['bill'],[],2023,New Hampshire,lower
ocd-bill/570994aa-3679-4f8e-aa3c-bdc56974caa5,HB 270,relative to the election of Strafford county commissioners.,['bill'],[],2023,New Hampshire,lower
ocd-bill/040caa9e-b146-45a9-86a3-8019fa7acfb3,HB 340,relative to the transfer of residential property.,['bill'],[],2023,New Hampshire,lower
ocd-bill/e050d095-b348-4512-a582-86a356e088a2,HB 360,an act legalizing cannabis for persons 21 years of age or older.,['bill'],[],2023,New Hampshire,lower
ocd-bill/7644a59f-c416-45dc-928e-0fa251f81302,HB 636,relative to required education for zoning board of adjustment members.,['bill'],[],2023,New Hampshire,lower
ocd-bill/35728d92-9da0-4092-ba51-9ff614f5e5ff,HB 33,relative to polycystic ovary syndrome awareness.,['bill'],[],2023,New Hampshire,lower
ocd-bill/c7830fbd-0d70-4590-b546-4ed7cb42dee0,HB 379,requiring notice be provided to tenants during residential eviction proceedings regarding legal counsel.,['bill'],[],2023,New Hampshire,lower
ocd-bill/4cc4e745-dafb-4359-84a8-77bbf00b2fc8,HB 47,relative to medical records attestations for organ donation eligibility.,['bill'],[],2023,New Hampshire,lower
ocd-bill/f480c688-3a7f-4982-b111-4900abdcf786,HB 58,prohibiting payment of subminimum wages.,['bill'],[],2023,New Hampshire,lower
ocd-bill/28599639-529d-4c40-8402-811389a55fd0,HB 556,relative to the duties of the information technology council.,['bill'],[],2023,New Hampshire,lower
ocd-bill/5c6e40a5-f01d-4778-85c2-ef68c47bb509,HB 290,relative to service of writs and precepts by a constable.,['bill'],[],2023,New Hampshire,lower
ocd-bill/e6496802-c585-4cee-a24d-a1045b1bdc75,HB 448,relative to Lake Winnipesaukee speed limitations.,['bill'],[],2023,New Hampshire,lower
ocd-bill/36e9bf4b-16ca-48c0-94a1-f039cb52021f,HB 186,relative to waivers for alternative sewage disposal systems.,['bill'],[],2023,New Hampshire,lower
ocd-bill/2c0815f9-0fc1-43ed-aee4-c1940668f337,HCR 3,relative to affirming states' power over the federal constitution.,['concurrent resolution'],[],2023,New Hampshire,lower
ocd-bill/f664bff8-802e-4ee1-9e27-6667ed82ee5f,HB 526,regulating the use of temporary traffic control personnel.,['bill'],[],2023,New Hampshire,lower
ocd-bill/c239fbdd-d878-4bd8-b6e6-afde32d22c6d,HB 56,relative to permits for the siting of new landfills.,['bill'],[],2023,New Hampshire,lower
ocd-bill/b3a0a388-5bec-46e4-acd7-a6d954e7a3dc,HB 617,"prohibiting, with limited exceptions, state agencies from requiring use of proprietary software in interactions with the public.",['bill'],[],2023,New Hampshire,lower
ocd-bill/d64233c5-e36b-4a11-9f28-fb356c36143c,HB 146,relative to the closure of state liquor stores.,['bill'],[],2023,New Hampshire,lower
ocd-bill/634a8188-92bb-45a6-9521-2073de49c856,HB 231,prohibiting the removal of claws from cats.,['bill'],[],2023,New Hampshire,lower
ocd-bill/4bf578af-7924-494e-9571-96d788ec0c7d,HB 76,imposing a waiting period between the purchase and delivery of a firearm.,['bill'],[],2023,New Hampshire,lower
