id,note,url,bill_id
9ac404c1-b329-4972-ad1b-82e4c16edf19,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0883&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/2a54a8ef-b56a-437e-8411-c40eb0028aa7
c90b3746-acc8-4acb-b106-d1fc96b546b4,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0562&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/e22b23f3-023a-4ac5-8bc4-e727cecadf55
4da34223-3aa0-4b99-986b-66478bdeb86d,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0928&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/d5f1e6b4-7f77-4ccf-82c6-95f0b507cfe2
26e82889-7e8b-44af-9084-5d773a781e46,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0411&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/20172da8-de96-47a6-a5f9-852e33e72990
702ebc13-a632-4520-80d9-4b82383b1061,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0194&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/ce4c9fb5-597d-443d-b0bc-1ae3144e83cd
c489993d-662d-4efe-bedc-afe81d077ceb,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0105&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/6695e821-ed80-44ec-82fd-28e5b2379e4a
22c807ae-de69-464a-9661-7e250655f8c7,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0110&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/28aa6455-3667-4dc4-8151-2a89d91cc0c3
e6ea5681-49b0-492f-b40a-c446360e0ed0,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0475&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/23fa1685-d677-4428-8bd6-1cc68068ebda
9482646a-2570-4b12-9e0d-272821f205c8,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0934&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/6d6b6e55-6beb-4df1-9d50-d4f43d1da576
fb80469e-5780-4a18-802d-da026daa2f57,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=1008&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/09036550-d697-40f0-a643-eea936f8a754
8a7dd212-233f-4ad4-9a7b-bea080cea9e1,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0352&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/4323868f-981d-46e2-9e80-b2cb76c16c3c
49d6bf93-dccc-46b7-a4a8-3488540da89b,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0767&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/9d291b49-1890-4785-87ce-2af053a4e4e5
fa22449d-0053-4acb-ae12-aac83e2bbd0e,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=1030&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/9836de26-c9cb-4217-b359-e601b4e88cdf
76fb3187-54cc-4049-83b2-2851ee8dd606,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0991&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/81628ed3-65d8-4246-8006-e0a788586e6b
b2b578b0-883b-4bc8-8a4f-ee3675da1e35,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0831&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/c44ed3da-2467-467b-acef-685b1a005fe0
3c03d276-df26-4344-8046-27ad0492ee89,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0169&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/85225592-c2b8-4db9-8cef-3d89f7e249b6
966b7956-1aa2-4493-8c23-94588c523a50,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0639&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/96c9f809-dd78-4351-9375-0c90bd55daf4
9702c825-f11e-4324-8b3b-da06c7d26b66,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0559&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/6882d8af-cc19-40b9-9cfa-8371853bd5d3
d13fb80c-b5d5-49a2-82c7-0f02a9787b2e,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0692&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/1c91c069-a413-49ca-95fd-c482e16a9891
3c011cd2-22cd-4c87-b604-723a8b4cd6a3,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0035&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/1bdf886f-c5ab-4bc6-a57e-25687f79855a
e45b016d-b049-44b4-b4c6-4bcbf35f2f29,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0207&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/ca78d0b4-e8d3-4857-9869-d58476677c58
c40d20df-d0e3-4990-b441-ea4be44e0292,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0012&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/1855986b-0277-4ff5-a280-33c7c0558f84
ad8f7327-0dc7-45ae-9783-3aeb9813b999,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0969&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/a088a1b1-1380-457b-9f7b-94c82a402d2f
286c3bb1-19a3-45af-8fe0-46de61260e1f,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0855&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/21504181-6d60-42b9-b2b6-96c6b122fb0d
0250479e-01ba-454b-a08d-cafbe534f65b,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0720&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/ab2d6166-ec30-41dd-9132-e6f7508b0db6
8bf47bb5-34eb-4d69-ae26-0c20aa365fc6,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0628&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/b279b031-571b-4f82-a5f6-ae6c31929194
17d6b1e3-8bc6-4507-9cee-df945c2b7ce1,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0223&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/b2a95d8d-4ca3-4068-b5df-e5b2535639ec
bacb12f9-0fde-4dfe-8442-83fbd6baeb87,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0026&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/7696dd4e-fa01-461d-955f-352fe2b6b4c3
59734e06-e747-4265-968f-d0dfd4078d05,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0200&sy=2023&sortoption=&txtsessionyear=2023,ocd-bill/75a473cc-59b0-4d5b-9268-e0b4308fdfa5
