session,bill_identifier,classification,name,party,entity_type,source_url
80,AB146,primary,Assemblywoman Brittney Miller,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/5
80,AB146,primary,Assemblyman Alexander Assefa,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/42
80,AB146,cosponsor,Assemblywoman Shannon Bilbray-Axelrod,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/34
80,AB146,cosponsor,Assemblyman Skip Daly,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/31
80,AB146,cosponsor,Assemblywoman Bea Duran,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/11
80,AB146,cosponsor,Assemblyman Ozzie Fumo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/21
80,AB146,cosponsor,Assemblywoman Michelle Gorelow,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/35
80,AB146,cosponsor,Assemblywoman Connie Munk,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/4
80,AB146,cosponsor,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB147,primary,Assemblywoman Robin Titus,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/38
80,AB147,primary,Assemblywoman Maggie Carlton,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/14
80,AB147,primary,Assemblywoman Dina Neal,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/7
80,AB147,primary,Assemblyman Al Kramer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/40
80,AB147,primary,Assemblywoman Lisa Krasner,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/26
