id,bill_id,note,date,classification,extras
b970ad0f-4838-4900-b6a1-01f3719288d1,ocd-bill/c2c4a4fa-e38c-4e93-bde9-8e1810f4efa8,amendment 2021-0773s,,,{}
c6db8f2b-e381-4c97-8ffd-1886a94a3eab,ocd-bill/679f5b43-bdaf-4492-8597-442a9cca1064,amendment 2021-0047h,,,{}
e9b115c8-f36d-4f55-af9c-e3b061758f89,ocd-bill/43da3bf1-c688-4365-ae6f-e7d97d7723ec,amendment 2021-0617s,,,{}
140ab371-f9d4-42d5-9616-4b956aaa2d9d,ocd-bill/1fc0e25b-e36c-40f9-9ab7-fe2ab8b77d37,amendment 2021-0567s,,,{}
1a9a7c4a-61df-4178-bb94-74fdc23f1a39,ocd-bill/7874dca1-f5d2-4916-a5b1-0b2f0d854ea2,amendment 2021-1861s,,,{}
