id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/10c72d88-78f5-4898-9685-aebc3a75348e,HB 203,establishing a committee to study school meal programs in New Hampshire's public schools and non-sectarian schools that accept public funds.,['bill'],[],2021,New Hampshire,lower
ocd-bill/90a787b8-ffda-447d-9130-98306147ebbd,HB 163,relative to cannabis use during pregnancy.,['bill'],[],2021,New Hampshire,lower
ocd-bill/fcdd84f3-ced1-4e3e-ba01-a7522686975c,HB 158,relative to the definition of prime wetland.,['bill'],[],2021,New Hampshire,lower
ocd-bill/d46c6e60-b5b8-4998-b6af-fd0b1cd8d11b,CACR 3,use of money raised by taxation for education.  Providing that money raised by taxation may be applied for the use of religious educational institutions.,['constitutional amendment'],[],2021,New Hampshire,lower
ocd-bill/b91b4886-067f-4ebd-a473-36b2401f8a26,HB 107,relative to the minimum hourly rate.,['bill'],[],2021,New Hampshire,lower
ocd-bill/df817066-7e66-4c18-bf83-4568385496cd,HB 149,extending certain civil immunity to public and private entities during major public health emergencies.,['bill'],[],2021,New Hampshire,lower
ocd-bill/c307e76e-51ec-40e9-b4a5-27fc70188faa,HB 68,relative to the definition of child abuse.,['bill'],[],2021,New Hampshire,lower
ocd-bill/3eba1f8a-3133-4b36-b997-6520f0dccb7e,HB 168,requiring the adoption of innovative vehicle emissions standards pursuant to section 177 of the federal Clean Air Act.,['bill'],[],2021,New Hampshire,lower
ocd-bill/d3f96cf2-1461-4c02-b36b-ed257fdc288d,HB 124,adopting the uniform real property transfer on death act.,['bill'],[],2021,New Hampshire,lower
ocd-bill/28126b60-f09d-42f6-ae87-954eda44a065,HB 86,relative to voter qualifications and registration procedures.,['bill'],[],2021,New Hampshire,lower
ocd-bill/70098049-780c-4501-8d25-817f8af4cfb4,HB 155,renaming Columbus Day as Indigenous People's Day.,['bill'],[],2021,New Hampshire,lower
ocd-bill/6f02866e-f44c-45d5-9e44-47064e683c57,HB 228,relative to the calculation of child support in cases with equal or approximately equal parenting time.,['bill'],[],2021,New Hampshire,lower
