id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/9d4cbe94-04f8-433f-b8f8-6838ae9cd931,,Introduction of SB 2,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/092ef6b2-a7c5-476d-81e3-21d387dc7f95,,New Hampshire,2021
ocd-vote/435fbc08-3af4-4dbd-ab90-5a625d2b089c,,Rules Suspension - Condemn Violence,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/34e8ffb5-a1a0-4105-8e60-abeb7a44c67d,,New Hampshire,2021
ocd-vote/7fdc65d2-0c19-4ce7-bc3b-cdbbe40b1350,,Ought to Pass w/Amendment,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/092ef6b2-a7c5-476d-81e3-21d387dc7f95,,New Hampshire,2021
ocd-vote/ee2d2639-6b82-412b-bd68-3e2944a811c3,,Ought to Pass,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/1f395f1e-a6aa-4c7b-ab72-92f064bab23b,,New Hampshire,2021
ocd-vote/ee7ee8d2-6654-4b83-85a4-88cc6e14d1a1,,Third Reading and Final Passage in the Early Session,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/092ef6b2-a7c5-476d-81e3-21d387dc7f95,,New Hampshire,2021
ocd-vote/0e03fec9-3295-44ed-8822-8fe91f6a40cc,,Ought to Pass,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/4dcec304-3a09-429c-9e6f-5bbdb3fac0c9,,New Hampshire,2021
ocd-vote/6083a228-bbcf-4f0a-8b98-b10266126c79,,Floor Amendment 0005s,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/092ef6b2-a7c5-476d-81e3-21d387dc7f95,,New Hampshire,2021
ocd-vote/d383502b-4277-43f1-b359-1493c16747e3,,Suspension of all Rules Necessary,['passage'],2021-01-06T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/092ef6b2-a7c5-476d-81e3-21d387dc7f95,,New Hampshire,2021
ocd-vote/a1e24c01-f55e-41d0-ac99-ce0839ad640b,,Rereferred,['passage'],2021-02-04T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/120f3eb3-6d13-4575-8d06-c601b7514091,,New Hampshire,2021
ocd-vote/db74fc38-acf9-498d-a92e-7eed4ad768c3,,Committee Amendment 0033s,['passage'],2021-02-04T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/c9a8c0e5-e56e-4870-8b34-062f75082f3f,,New Hampshire,2021
