id,bill_id,organization_id,description,date,classification,order
53097022-5517-4a95-a78b-cc1568732f40,ocd-bill/34261842-6a73-4a4b-8eab-265d78a28328,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Introduced 01/06/2021 and Referred to Education;  SJ 3,2021-01-19,"['introduction', 'referral-committee']",0
d9742b26-f6bf-46d7-9f8d-cb5fe9283dbd,ocd-bill/0ca9296e-ed1a-4248-823c-81a0141032c5,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Municipal and County Government  HJ 2  P. 49,2021-01-10,"['introduction', 'referral-committee']",0
83b47a6d-de93-4817-86ea-8ddc9d7371ba,ocd-bill/09fc8674-28d6-4f94-bf66-f380fa7463d5,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Executive Departments and Administration  HJ 2  P. 45,2021-01-10,"['introduction', 'referral-committee']",0
67269351-b2c8-444f-9090-7fcfa7dabaf0,ocd-bill/2e8dda25-ef72-4382-837e-a8789ae1c315,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Judiciary  HJ 2  P. 40,2021-01-09,"['introduction', 'referral-committee']",0
e7392785-0c4d-436a-9e65-d685e1555a90,ocd-bill/394d7679-e20b-4217-9851-6d3886625453,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Children and Family Law  HJ 2  P. 49,2021-01-10,"['introduction', 'referral-committee']",0
f97007a2-3cbc-4d0c-acfc-72b5ed1e548b,ocd-bill/8ba58901-81c3-4958-a8c9-55603195aeb7,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Children and Family Law  HJ 2  P. 53,2021-01-12,"['introduction', 'referral-committee']",0
189d4099-bb07-43b6-b6c6-1f0c67999acd,ocd-bill/813d0fc0-c726-4fb0-9078-72ab3c3d85b2,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Municipal and County Government  HJ 2  P. 48,2021-01-10,"['introduction', 'referral-committee']",0
4aafc137-0945-4d31-9fc1-306c974a2777,ocd-bill/91cb45b7-bf2b-4976-a892-c25f436e99a1,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to State-Federal Relations and Veterans Affairs  HJ 2  P. 46,2021-01-04,"['introduction', 'referral-committee']",0
2ca1f187-4c11-4eba-99e5-3053da5e149d,ocd-bill/22164b79-9047-4b5c-a9bd-11176b13acbf,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Environment and Agriculture  HJ 2  P. 39,2021-01-04,"['introduction', 'referral-committee']",0
6bdeff5e-4b01-4015-9558-5f929d181ea1,ocd-bill/a2716fc4-faf9-484d-8749-b4d4c5153e07,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Environment and Agriculture  HJ 2  P. 41,2021-01-09,"['introduction', 'referral-committee']",0
a7a41e64-f93a-4a54-a604-006ec86424b0,ocd-bill/120a3e00-be25-4e94-9ae8-bdbc95ca1718,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced (in recess of) 01/06/2021 and referred to Health, Human Services and Elderly Affairs  HJ 2  P. 44",2021-01-09,"['introduction', 'referral-committee']",0
2ff34ee2-f5d7-4f71-a81e-a9cd0a3f8ae3,ocd-bill/dfbd0da8-73c2-4669-82d1-bd970d1de77d,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Children and Family Law  HJ 2  P. 54,2021-01-12,"['introduction', 'referral-committee']",0
5057304b-9031-4f35-8cf1-2b8211ee3105,ocd-bill/1de1d180-6005-426d-b2ff-1928fa613140,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced (in recess of) 01/06/2021 and referred to Health, Human Services and Elderly Affairs  HJ 2  P. 54",2021-01-12,"['introduction', 'referral-committee']",0
cc771575-e2eb-4150-b81c-863629cadc27,ocd-bill/629a9c53-122b-4f2f-a264-49a8d591e4b1,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to State-Federal Relations and Veterans Affairs  HJ 2  P. 50,2021-01-09,"['introduction', 'referral-committee']",0
30b9192a-3da5-4230-ad3e-37837951e894,ocd-bill/8c64bb13-45ca-4cda-8800-96bd8a9870dd,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Education  HJ 2  P. 43,2021-01-09,"['introduction', 'referral-committee']",0
0948cdc1-0fd4-48eb-afe9-43f5429b6553,ocd-bill/90732e9c-2c05-406c-971b-38d3fee40c71,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Introduced 01/06/2021 and Referred to Commerce;  SJ 3,2021-01-19,"['introduction', 'referral-committee']",0
56691dbd-9ecb-4f35-a705-4ea3784e3d16,ocd-bill/4c2aae91-868b-4f3b-80fb-500d49f35b09,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Introduced 01/06/2021 and Referred to Health and Human Services;  SJ 3,2021-01-19,"['introduction', 'referral-committee']",0
09de569c-0c84-4e05-8729-9bc5926ab8a9,ocd-bill/206dbec9-679b-4489-9bf9-15f8d4b96943,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Election Law  HJ 2  P. 52,2021-01-12,"['introduction', 'referral-committee']",0
aef79d6c-c7d9-4867-8dac-d06a781cff41,ocd-bill/1c81cfca-74b9-4654-be11-7c03a7e85683,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Municipal and County Government  HJ 2  P. 48,2021-01-10,"['introduction', 'referral-committee']",0
fd5a1415-fe47-45ab-8528-27d93b275002,ocd-bill/3fe5fab0-704f-4a34-8f90-d38fca86708f,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Introduced 01/06/2021 and Referred to Commerce;  SJ 3,2021-01-19,"['introduction', 'referral-committee']",0
6c17d8a9-1ed9-49bf-b230-fa5d6cef25f8,ocd-bill/94a64fd7-e7c7-42c8-9102-8c88e9f5c251,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Education  HJ 2  P. 44,2021-01-09,"['introduction', 'referral-committee']",0
24368a93-a940-44c0-8fb4-0e6edd27d6e4,ocd-bill/06fa29c6-4977-4333-850d-a8989f01e877,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Introduced 01/06/2021 and Referred to Judiciary;  SJ 3,2021-01-12,"['introduction', 'referral-committee']",0
a74cb8f8-a82d-4c40-93bd-07d260b98cad,ocd-bill/0a0f2b2f-8b1d-4bcb-bb2c-20ec0ae6a7da,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Judiciary  HJ 2  P. 40,2021-01-09,"['introduction', 'referral-committee']",0
42325b52-d689-49d6-bb91-ba7d48f8ac2d,ocd-bill/73761e49-508a-4d2e-b3f5-1457e486bced,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Criminal Justice and Public Safety  HJ 2  P. 52,2021-01-12,"['introduction', 'referral-committee']",0
0b55bf4b-7aca-40e0-9d11-515cf33a75ae,ocd-bill/858ead5a-88c5-4b7b-86bb-15eefd576a9a,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced (in recess of) 01/06/2021 and referred to Health, Human Services and Elderly Affairs  HJ 2  P. 51",2021-01-11,"['introduction', 'referral-committee']",0
