id,name,entity_type,organization_id,person_id,bill_id,primary,classification
916722ff-4235-4ae9-a04f-c6a8fc312fea,Kenneth L. Weyler,person,,ocd-person/e2f9dd7e-b221-4cf0-b7de-5daa70658669,ocd-bill/ef0d71b0-a51d-475b-966e-a53ea6ca3b0c,True,primary
06342823-e879-40fb-b602-e5940445049e,John A. Graham,person,,ocd-person/05a586d8-4c39-4578-95f6-7aaa30b3c67c,ocd-bill/46a1981f-1e29-42bf-95b4-d87b9cfae1f9,True,primary
476eff99-d75c-428c-995b-6b6034bf0282,Sue M. Mullen,person,,ocd-person/07c19313-fcb0-476b-b240-e299c55888f7,ocd-bill/46a1981f-1e29-42bf-95b4-d87b9cfae1f9,False,cosponsor
65530451-3413-4303-89aa-f0d6dd2ebd79,Rosemarie Rung,person,,ocd-person/1a5923c6-3e1f-4ebe-8739-17c9e9642403,ocd-bill/712a0ec2-9d59-4b7d-8746-6d581f1b55bd,True,primary
dc8258fe-5d96-4d55-b043-6cdddd0883ed,Mary Beth Walz,person,,ocd-person/aee31921-5d02-4da9-8e3e-3137b4bb8bf4,ocd-bill/b87fca1e-5d5e-4f6b-8f21-e0368a43b0d7,True,primary
fddc14e4-16ff-4564-96aa-9b34982f70b0,Gary L. Woods,person,,ocd-person/5d98b66b-f4d1-4776-953f-67dc348fdd12,ocd-bill/b87fca1e-5d5e-4f6b-8f21-e0368a43b0d7,False,cosponsor
624feb39-490a-43cb-8380-ef096e0d1737,Debra L. DeSimone,person,,ocd-person/7ef7472f-0bda-4708-9239-76adeca1e87e,ocd-bill/352b0c81-6a8c-4399-a2eb-92afad9a3e61,False,cosponsor
2560977e-1008-4e85-ba43-9d7eac06cf15,Linda R. Gould,person,,ocd-person/40ae4adb-2124-47ca-82b5-9eee794af4a2,ocd-bill/352b0c81-6a8c-4399-a2eb-92afad9a3e61,False,cosponsor
499f5745-4e9b-4ea1-9c67-c3b42e3a6b1d,Kimberly A. Rice,person,,ocd-person/85b7ca6d-3fd7-4e97-bfe0-effe223121f7,ocd-bill/352b0c81-6a8c-4399-a2eb-92afad9a3e61,False,cosponsor
26798c7a-f323-4a47-a1eb-235d2d104806,Gary L. Daniels,person,,ocd-person/4c8ac73e-dca4-48ca-b50c-25d0d41425bc,ocd-bill/352b0c81-6a8c-4399-a2eb-92afad9a3e61,False,cosponsor
72ec885f-7fe8-4e56-b185-f1a06437f93a,Maureen C. Mooney,person,,ocd-person/4a80db99-34b2-4d33-995b-41d889592bf3,ocd-bill/352b0c81-6a8c-4399-a2eb-92afad9a3e61,False,cosponsor
669a40b8-a126-4897-897b-fdd7e63e5cf9,Ruth Ward,person,,ocd-person/9089a509-1f26-4770-adc6-199ed716e692,ocd-bill/352b0c81-6a8c-4399-a2eb-92afad9a3e61,False,cosponsor
