id,bill_id,note,date,classification,extras
d9e9826e-0127-4530-a90c-b316e864ba1b,ocd-bill/b0b881e3-b1a8-42d9-a31f-82437449b67b,Amendment #2020-1542e,,,{}
8bbe35fd-b5e7-47a1-ac9f-67a34af05ecd,ocd-bill/b0b881e3-b1a8-42d9-a31f-82437449b67b,latest version,,,{}
d2f8cc9d-a289-47a8-b63c-07880cfec8ce,ocd-bill/64cf26db-9ab6-476a-b685-45da96be3a24,Amendment #2020-0964h,,,{}
10d64a31-a640-4505-88ad-5febb1e1ad71,ocd-bill/29514fc1-0388-4387-aa5c-c0d16aa85ad5,Amendment #2020-0952h,,,{}
47d08a80-dd08-421e-a7f5-96a96c0f8a09,ocd-bill/11671e32-7a9c-4e46-ab7f-64f74c7233b2,Amendment #2020-0284s,,,{}
3f484453-d6fc-4ac3-b23f-9edbf3bb50e1,ocd-bill/6ead1719-9fdb-44a7-b0ca-4fe6de4217c0,Amendment #2020-0336e,,,{}
eb360a1f-f40d-48dd-b0d0-f595ae720968,ocd-bill/1c1ebfc1-9ecf-4c65-92b5-c278ee396db7,Amendment #2019-2776h,,,{}
4343ad8b-9343-4f8f-bcd1-7756c9f4df2e,ocd-bill/1c1ebfc1-9ecf-4c65-92b5-c278ee396db7,latest version,,,{}
89cafefc-99f2-4f6b-8495-eec5290938c7,ocd-bill/75de5fe6-90e7-47ac-8582-9e7b3a1c3dd1,Amendment #2019-2824h,,,{}
69df822d-6592-4f5b-9f08-21cdc1c05e75,ocd-bill/e9b2280a-a34d-49e8-bc72-b0168d508a7f,Amendment #2020-0862s,,,{}
bb463811-a8e3-4555-81a2-6828698fd2a0,ocd-bill/a42f4dae-ec94-4a40-a683-754d500ddbd1,Amendment #2019-2766h,,,{}
55c39da3-21fc-4081-ac72-f012e299806c,ocd-bill/a42f4dae-ec94-4a40-a683-754d500ddbd1,latest version,,,{}
eb0f75d5-278b-4fca-8fe0-32fc52b9f369,ocd-bill/a7901cf5-5c4f-41d6-b0a0-309d977961aa,latest version,,,{}
66385be0-5cfb-4c1e-9903-2f9a97977641,ocd-bill/75f2e069-b2a3-426b-aa4b-7aecbdd4323a,Amendment #2020-0604s,,,{}
1a08bb04-bcbe-4650-859e-6e7799670913,ocd-bill/75f2e069-b2a3-426b-aa4b-7aecbdd4323a,latest version,,,{}
32cd3387-f3c9-42c6-931f-13ea7dd04178,ocd-bill/60b06c70-c007-42e7-a9fd-6a129db8d77a,latest version,,,{}
