id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/ad017e48-71b8-4eb8-aa05-c6eaec343369,HB 1299,relative to selectmen pro tem on state election day.,['bill'],[],2020,New Hampshire,lower
ocd-bill/5482e215-fe7c-4141-a53e-a4844327c4ca,HB 1716,relative to the treatment of veterans' disability benefits for purposes of determining child support.,['bill'],[],2020,New Hampshire,lower
ocd-bill/b0b881e3-b1a8-42d9-a31f-82437449b67b,HB 490,"establishing a commission to study the role of clinical diagnosis and the limitations of serological diagnostic tests in determining the presence or absence of Lyme and other tick-borne diseases and available treatment protocols, and appropriate methods for educating physicians and the public about the inconclusive nature of prevailing test methods and available treatment alternatives.",['bill'],[],2020,New Hampshire,lower
ocd-bill/64cf26db-9ab6-476a-b685-45da96be3a24,HB 1484,relative to retroactive denials of previously paid claims.,['bill'],[],2020,New Hampshire,lower
ocd-bill/29514fc1-0388-4387-aa5c-c0d16aa85ad5,HB 1630,relative to pet vendors.,['bill'],[],2020,New Hampshire,lower
ocd-bill/28405965-f284-4f85-bdf0-7fd44ed4abab,HB 1366,relative to the computation of renewable energy credits.,['bill'],[],2020,New Hampshire,lower
ocd-bill/11671e32-7a9c-4e46-ab7f-64f74c7233b2,SB 613,relative to access to crash data.,['bill'],[],2020,New Hampshire,upper
ocd-bill/7260e5ad-65e8-47cf-ac08-1072741037ae,SB 542,relative to membership on the professional standards board.,['bill'],[],2020,New Hampshire,upper
ocd-bill/63486cb6-e16a-4b0d-9a48-c2830f5b594a,SB 447,relative to pharmacy audit provisions.,['bill'],[],2020,New Hampshire,upper
ocd-bill/6ead1719-9fdb-44a7-b0ca-4fe6de4217c0,SB 255,relative to dementia training for direct care staff in residential facilities and community-based settings.,['bill'],[],2020,New Hampshire,upper
ocd-bill/1c1ebfc1-9ecf-4c65-92b5-c278ee396db7,HB 251,establishing a committee to study criminal records check policies for nonpublic schools and private entities that receive public funds.,['bill'],[],2020,New Hampshire,lower
ocd-bill/75de5fe6-90e7-47ac-8582-9e7b3a1c3dd1,HB 311,relative to the authority of the state fire marshal to grant an exemption from fire code requirements to recovery houses.,['bill'],[],2020,New Hampshire,lower
ocd-bill/e9b2280a-a34d-49e8-bc72-b0168d508a7f,SB 414,relative to roads within the Woodsville Fire District.,['bill'],[],2020,New Hampshire,upper
ocd-bill/a42f4dae-ec94-4a40-a683-754d500ddbd1,HB 661,relative to claims for medical monitoring.,['bill'],[],2020,New Hampshire,lower
ocd-bill/97559c80-2589-4e37-b97a-c47b1ef1d27c,SB 569,relative to the borrowing authority of the university system of New Hampshire.,['bill'],[],2020,New Hampshire,upper
ocd-bill/a7901cf5-5c4f-41d6-b0a0-309d977961aa,HB 543,relating to the protection of wetlands.,['bill'],[],2020,New Hampshire,lower
ocd-bill/75f2e069-b2a3-426b-aa4b-7aecbdd4323a,HB 263,relative to department of health and human services family reunification practices involving convicted sex offenders.,['bill'],[],2020,New Hampshire,lower
ocd-bill/60b06c70-c007-42e7-a9fd-6a129db8d77a,HB 536,adding biometric information to the consumer protection act.,['bill'],[],2020,New Hampshire,lower
ocd-bill/ea3e84bd-d929-4700-8729-39449f15bffa,HB 479,relative to eligibility for the low and moderate income homeowners property tax relief.,['bill'],[],2020,New Hampshire,lower
ocd-bill/3f2f839f-5f9f-4dd7-b4d4-a9bed040e6e1,HB 384,relative to access to historic burial sites on state-owned land.,['bill'],[],2020,New Hampshire,lower
ocd-bill/ea284087-cd3c-44e9-8e11-b44fe06cd8ec,SB 588,relative to wanton waste of an animal and relative to contests for taking fur-bearing animals.,['bill'],[],2020,New Hampshire,upper
ocd-bill/907f2253-a187-4ff5-baa9-a4691408cef0,HB 1311,relative to the semi-annual or quarterly collection of taxes in certain municipalities.,['bill'],[],2020,New Hampshire,lower
ocd-bill/044d69de-519b-4528-8c0d-bb57d7c05c58,HB 431,relative to election officers at additional polling places.,['bill'],[],2020,New Hampshire,lower
ocd-bill/8a854b07-b645-4dbe-97a8-eba482376300,HB 1555,"establishing a committee to study increasing wages, educational opportunities, and the corresponding impact on recidivism among prisoners incarcerated in a state correctional facility who work at or under the supervision of such facility",['bill'],[],2020,New Hampshire,lower
ocd-bill/ef26c7c0-21ac-43ab-b3ca-8edbd148fd55,HB 1233,relative to coverage for children's early intervention services.,['bill'],[],2020,New Hampshire,lower
ocd-bill/815af0f4-d7de-4d61-9bb2-07f6cb2f4a9d,SB 708,relative to treatment alternatives to opioids.,['bill'],[],2020,New Hampshire,upper
ocd-bill/d49c5efe-2b83-4903-a400-65c7849d4908,SB 658,relative to the adoption of federal requirements for motor carriers.,['bill'],[],2020,New Hampshire,upper
ocd-bill/cdce4a7e-fcdd-45d2-ae12-adad53f3de7f,HB 1622,relative to the use of passenger restraints in motor vehicles.,['bill'],[],2020,New Hampshire,lower
ocd-bill/5a6f68ee-a7e6-4612-9a4f-7e6bc53c7795,HB 1292,revising certain benefit provisions in the city of Manchester employees contributory retirement system.,['bill'],[],2020,New Hampshire,lower
ocd-bill/96b7f599-7280-4014-802f-12999d4c0b39,SB 209,establishing a commission to create a New Hampshire recovery monument.,['bill'],[],2020,New Hampshire,upper
ocd-bill/44767e30-c7ed-4ba1-90d3-b62f0bf0796f,SB 93,relative to prepaid wireless telecommunications service and voice over Internet protocol communications under the communications service tax.,['bill'],[],2020,New Hampshire,upper
ocd-bill/b82b0100-0b50-4137-816a-f072ae7228ed,SB 237,relative to the office of cost containment.,['bill'],[],2020,New Hampshire,upper
ocd-bill/5c7e893c-686a-4ef6-8180-a645aeff8648,HB 709,relative to the formula for determining funding for an adequate education.,['bill'],[],2020,New Hampshire,lower
ocd-bill/e1bf47df-f1f8-4a05-9273-cdb3d5e44345,HB 250,establishing a dental benefit under the state Medicaid program.,['bill'],[],2020,New Hampshire,lower
ocd-bill/1ba3d8a8-8822-4c02-a483-ed912d4645ae,HB 542,establishing a grant program to support municipalities in updating their wetlands regulations.,['bill'],[],2020,New Hampshire,lower
ocd-bill/8adf7310-93bf-43f6-a3b4-aab0dc91fc3e,HB 596,relative to eligibility for agricultural plates.,['bill'],[],2020,New Hampshire,lower
