id,note,url,vote_event_id
eee7bc03-081a-4689-a91f-0bc2d3ff2035,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/0a12d3a2-d349-4a41-b46f-49a0e8b2923f
eb0cc115-3339-4b10-ad96-4e9f202f3232,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/06c25261-6e35-4c2d-b27e-ae041b2e46ce
8646ea63-4f39-4334-829c-a8fd8e8e503f,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/02d180d1-aa92-4730-85b9-b2dfd9d3806f
7bdb1679-da47-44c3-9016-adade2c958db,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/b68e5944-2a32-411e-9b79-6abd646e368b
8193f190-5af7-4cee-a77d-a7657f3c80e8,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/1ea415b9-7512-47e9-9c76-f3e004c16d35
7c22a9cd-e391-462b-893b-6301cb313ab4,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/ebe27ac5-7a06-4073-8289-d0e4695ce389
f3a8aee7-10ef-4c93-af27-8278673b4a7f,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/8c893238-89fa-437f-8ebb-3a0663de9101
e237e942-bb78-4f37-b4da-5be8d2d20766,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/94e0b972-968f-437a-878e-981594c3db32
0bdb8a56-33ec-40c3-ae10-5c3edae76382,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/942602ed-eaf5-4ae4-b2c9-592c89049bf0
ac74b37b-54fa-4678-91c0-b9b73e8d10a2,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/480b686f-0234-4e23-bea4-81512c94b5f3
e1382946-edc4-4e36-a395-4698a6b00d04,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/43c028f7-f693-4980-8194-7fd4c2c91b85
d28c7465-4ce7-47f3-9efc-1d8eb050a23d,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/1350163b-2071-4e5b-b5f6-fb1217da924c
31477002-4449-4081-ba78-2e7d5f423222,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/3fc59d53-1685-4dfd-b407-914e9dc60b22
451e4fca-d443-462b-ae18-c928a6e83faf,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/4be4a61b-402d-4a3f-9918-52791deb20ac
c496ff71-cbd6-4b5a-a16a-46343ee12496,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/ba139462-7e2a-4572-8e35-97ddab770061
de0f81eb-a790-444e-96f3-9ffc026938d6,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/ddb491e6-e12c-49b6-95ec-ae261d492ab2
3f73d95e-a661-46cc-ab7b-05a66224d3fc,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/fea5e99f-d738-441f-b5f5-7d7eeb768c2f
