id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/480b686f-0234-4e23-bea4-81512c94b5f3,,Inexpedient to Legislate,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/89079530-0b80-4263-8ccc-b72a8f9b127d,,New Hampshire,2020
ocd-vote/72590350-1039-4f28-8275-bcc0d46adda0,,Ought to Pass w/Amendment,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/e035c2b6-b63b-430a-936a-caded7df4d57,,New Hampshire,2020
ocd-vote/bf37ac4c-3c8a-478f-98c2-f85d7ac9f732,,Floor Amendment 0022s,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/ff4a94fb-42d5-4dd4-99f1-dc291ebb6d3c,,New Hampshire,2020
ocd-vote/8c022761-67d3-42d7-b8e8-29d93fe00255,,Laid on Table,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/ce2e44d8-3a7a-423d-8125-5b94a23ccccb,,New Hampshire,2020
ocd-vote/8bb750eb-7c1c-4f4f-a95b-0cb4f6e4508c,,Ought to Pass w/Amendment,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/9d919a33-52d2-4462-aaca-b8871a2bb9db,,New Hampshire,2020
ocd-vote/38f78141-b191-4cfa-8ef1-9dea763afb8b,,Ought to Pass w/Amendment,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/ff4a94fb-42d5-4dd4-99f1-dc291ebb6d3c,,New Hampshire,2020
ocd-vote/be285a50-4af4-4916-9a9e-b17cfc952af5,,Ought to Pass w/Amendment,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/ff4a94fb-42d5-4dd4-99f1-dc291ebb6d3c,,New Hampshire,2020
ocd-vote/e5ac6270-7419-4e71-a8bf-f5071a77b8ce,,Inexpedient to Legislate,['passage'],2020-01-08T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/a0e7689e-e691-419b-9f25-c997d26843e6,,New Hampshire,2020
ocd-vote/2c38cd38-6638-4f7e-8544-0b3b44534205,,OTPA,['passage'],2020-01-08T10:58:51-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/b6812cb0-dcc0-4c12-810f-f22eb4c23dec,,New Hampshire,2020
ocd-vote/9d54a1ea-1f8a-4005-95f5-0ecb08df7ffb,,OTP,['passage'],2020-01-08T11:08:11-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/2420b214-7e64-4b57-8820-dab3da557603,,New Hampshire,2020
ocd-vote/5a3a7eb6-1816-4d54-aa65-b106eedf4931,,Adopt Amendment,['passage'],2020-01-08T11:44:48-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/22eb6e99-8fb0-40e9-8cb4-42b4fa371ff7,,New Hampshire,2020
ocd-vote/efc2f845-9dc0-4352-84ea-21551a2215f8,,OTPA,['passage'],2020-01-08T12:20:16-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/22eb6e99-8fb0-40e9-8cb4-42b4fa371ff7,,New Hampshire,2020
ocd-vote/2fbf5cdd-11c3-44d4-bcc8-e0f53347c5e1,,OTPA,['passage'],2020-01-08T13:48:40-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/461bf845-1bb9-44af-b5ab-a779acaafb9d,,New Hampshire,2020
ocd-vote/4c6fe17b-1b0d-443f-865d-cc765d4d8546,,OTPA,['passage'],2020-01-08T14:04:09-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/11b6b3c1-3209-4b01-bf6a-d0f0aa21e09f,,New Hampshire,2020
ocd-vote/1156428a-0dcf-47eb-90a2-da4c6ef88e70,,OTPA,['passage'],2020-01-08T14:11:56-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/c150cdf9-6c06-4a96-9808-7cf6acbc54dc,,New Hampshire,2020
ocd-vote/1e6c7496-bd66-4e76-99fe-4694a5492de0,,OTPA,['passage'],2020-01-08T14:24:40-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/afcea61e-364b-408b-a52e-27541e4622d9,,New Hampshire,2020
ocd-vote/50469c03-ce72-4def-89bb-78f0ef255647,,OTPA,['passage'],2020-01-08T14:39:53-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/f3dd3e3e-bcf1-4dfe-8097-2dc90d840328,,New Hampshire,2020
ocd-vote/8eac30d0-6ad1-4be3-8a3b-4a6a7a2dc910,,Table,['passage'],2020-01-08T15:02:18-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/5d682e87-1a8a-47a8-83b2-5b305fc72716,,New Hampshire,2020
ocd-vote/9de98ee2-78c2-40f7-87f6-96946ef2bfe2,,Adopt Amendment,['passage'],2020-01-08T15:11:06-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/1705975a-f1c1-48e2-8579-4b2e0960a70a,,New Hampshire,2020
