id,vote_event_id,option,value
f0684d15-2cb0-4a1d-9cf2-4e88412c8d5c,ocd-vote/cfdf770b-466e-438f-bc3d-e19ee1b09ba6,other,51
7eef4a29-a82c-4890-aa78-b76a5d52bb1d,ocd-vote/cfdf770b-466e-438f-bc3d-e19ee1b09ba6,no,145
e372a9a8-9e8e-45e6-a2f3-c74485988f3f,ocd-vote/cfdf770b-466e-438f-bc3d-e19ee1b09ba6,yes,192
28267e79-b524-4af7-9766-2cf187393761,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,other,53
d1ef0cf6-ec22-4b0e-ac89-c80e3e7bcb5e,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,148
9c6465f5-f7d6-4652-96c1-57de94a19e5c,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,187
69fefd1d-4ccd-4a12-ab7e-c690e64fe79e,ocd-vote/9e970694-26c5-4594-b986-fa139cc9ef37,other,48
ce212bca-d7c9-44f3-9823-c7ae95681f73,ocd-vote/9e970694-26c5-4594-b986-fa139cc9ef37,no,146
d5a0acdc-942a-4181-a953-6037c3455471,ocd-vote/9e970694-26c5-4594-b986-fa139cc9ef37,yes,194
47d535c2-62ac-4789-9acf-0a997c92fc74,ocd-vote/aa5fca02-04f4-4b7f-b7d9-e62450c04596,other,51
69bdaa2b-6829-488b-908a-9792a0e1de41,ocd-vote/aa5fca02-04f4-4b7f-b7d9-e62450c04596,no,130
01f9c07d-5445-4371-8de7-8e72f470b43f,ocd-vote/aa5fca02-04f4-4b7f-b7d9-e62450c04596,yes,207
909e05f8-be32-4897-891d-d18bfc668181,ocd-vote/4266ebc7-a2e2-442b-b1f3-abb8ab9e04e5,other,52
980ed462-23a9-4ed8-a5ee-5a362f9a7231,ocd-vote/4266ebc7-a2e2-442b-b1f3-abb8ab9e04e5,no,139
bdba83a1-6adb-40e0-b1fb-ac1243be0355,ocd-vote/4266ebc7-a2e2-442b-b1f3-abb8ab9e04e5,yes,197
cb042605-5e8b-40b4-bb80-2772621b9014,ocd-vote/d284ee83-d8df-43be-a7d4-cb7ae82d3350,other,55
6789c28e-85c2-4483-a2d1-a4a33b76906b,ocd-vote/d284ee83-d8df-43be-a7d4-cb7ae82d3350,no,140
b0a9996a-76da-4e42-93c2-0977bd3db5e5,ocd-vote/d284ee83-d8df-43be-a7d4-cb7ae82d3350,yes,193
2a7c2926-1b3c-421d-8fac-69284f04d442,ocd-vote/f850311a-0cd4-4f4e-8cc5-9c35f49cf172,other,55
f0cdea0d-6f8d-4be9-a519-8b093e2fe216,ocd-vote/f850311a-0cd4-4f4e-8cc5-9c35f49cf172,no,135
f2861705-0faf-4676-897f-bc58d6de331c,ocd-vote/f850311a-0cd4-4f4e-8cc5-9c35f49cf172,yes,198
2a8ce186-d5df-4f38-990c-8fad4bda9204,ocd-vote/b81401f1-727c-44f0-80f0-1a4486349faa,other,59
b003706f-f193-43f1-bdc6-a1c4f12afad5,ocd-vote/b81401f1-727c-44f0-80f0-1a4486349faa,no,138
bc308414-48dd-46ac-8fa3-7c790db2d1e1,ocd-vote/b81401f1-727c-44f0-80f0-1a4486349faa,yes,191
fe94f652-e4a6-4137-a2c4-a859fd15105c,ocd-vote/984cbacf-e1cd-47e9-802d-5622d1c3112c,other,49
6bc18437-0eb6-4ac3-86af-9ee9501f8f58,ocd-vote/984cbacf-e1cd-47e9-802d-5622d1c3112c,no,139
9d86a4b4-ca90-4016-bb30-71278458e579,ocd-vote/984cbacf-e1cd-47e9-802d-5622d1c3112c,yes,199
176ff289-d714-4007-a66b-9a2273ca12e1,ocd-vote/3b18e62a-33d1-4720-b1d6-79ae2987ab9d,other,55
3dfd155a-208e-4de7-b079-0c99c9cd3572,ocd-vote/3b18e62a-33d1-4720-b1d6-79ae2987ab9d,no,142
e199ff47-046a-443b-ab6b-62ca098d4da9,ocd-vote/3b18e62a-33d1-4720-b1d6-79ae2987ab9d,yes,191
7cf81e1f-890c-4b6c-b5a7-8509a28d1dee,ocd-vote/dea39852-d4e2-4a66-aa9e-cd003dfad182,other,50
9aa3407b-5670-4e45-b015-f02429b03fb8,ocd-vote/dea39852-d4e2-4a66-aa9e-cd003dfad182,no,143
99cc93cb-5471-4644-a914-cdb2c5eaeab7,ocd-vote/dea39852-d4e2-4a66-aa9e-cd003dfad182,yes,195
a79db77e-d232-4b74-8943-69aa1f85ec8e,ocd-vote/d563ab3a-5920-4e09-9330-6293d3e750b2,other,49
70c82af8-7a19-4d3a-961a-edf1f225611c,ocd-vote/d563ab3a-5920-4e09-9330-6293d3e750b2,no,145
1e4b9a55-5eee-45a7-bb6e-aeb243ff8369,ocd-vote/d563ab3a-5920-4e09-9330-6293d3e750b2,yes,193
650c8a83-64d9-4bef-b1a2-a760216e5046,ocd-vote/15ee60dd-0e4d-4281-8aa3-1ceb3bd04e3e,other,53
edf2da0a-aba4-4845-aaeb-5c9c81469a91,ocd-vote/15ee60dd-0e4d-4281-8aa3-1ceb3bd04e3e,no,139
13e036e1-1255-4439-bcef-cadf0b5a8119,ocd-vote/15ee60dd-0e4d-4281-8aa3-1ceb3bd04e3e,yes,196
09d3a64d-adc4-457c-b80e-d77deaa1ca54,ocd-vote/808193f5-55d1-4eb7-b525-ff4695c2b849,other,55
64948691-b957-4acf-a40d-e9b2b5d6f294,ocd-vote/808193f5-55d1-4eb7-b525-ff4695c2b849,no,141
94c87140-3b9b-4dc4-8863-63711dd57600,ocd-vote/808193f5-55d1-4eb7-b525-ff4695c2b849,yes,191
66ed28bb-9c50-4a50-8727-30a53ed93bb1,ocd-vote/6ff6e781-8c88-474c-81eb-177139b1e99e,other,50
39db99b7-8096-4f73-b06c-479f892846d3,ocd-vote/6ff6e781-8c88-474c-81eb-177139b1e99e,no,156
1301350f-8346-40fd-a951-9b7552c36494,ocd-vote/6ff6e781-8c88-474c-81eb-177139b1e99e,yes,182
f68ccf90-c030-46e2-b5a9-bf8f770c1de3,ocd-vote/757cd8f8-8828-461d-a6b6-6d85f7408ffb,other,54
9a698ef9-6278-4a5f-82d4-d453b14d4303,ocd-vote/757cd8f8-8828-461d-a6b6-6d85f7408ffb,no,139
449548b6-d6d4-43a1-87ea-bc24ae00453f,ocd-vote/757cd8f8-8828-461d-a6b6-6d85f7408ffb,yes,195
241893c9-26fa-4d7b-936c-b5e84d7cb24c,ocd-vote/6ad76dd5-a48e-4766-98ff-27001bdf4781,other,53
e660b3b5-2799-4dc6-8631-64f2b52af211,ocd-vote/6ad76dd5-a48e-4766-98ff-27001bdf4781,no,133
