id,vote_event_id,option,voter_name,voter_id,note
f50aa5ff-bbb1-4c51-ad09-ae961b2fc436,ocd-vote/cfdf770b-466e-438f-bc3d-e19ee1b09ba6,no,David A. Welch,ocd-person/b8201b25-9bdd-45d3-819d-5bae4c670ad0,
b8fde40b-7221-42ca-80ee-32b5d9557fad,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,David A. Welch,ocd-person/b8201b25-9bdd-45d3-819d-5bae4c670ad0,
712227ff-0e23-4d5a-b1e8-f5354bcb606e,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,other,Betsy McKinney,ocd-person/98145410-1fcc-4b89-a6cb-b403b80fabcb,
91f256b7-3c27-49e8-8b7f-b4eaaca513c2,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Phyllis M. Katsakiores,ocd-person/19404ada-b556-4609-9814-f19db9c0a0ad,
8106eddb-8045-4182-a733-f61ba743c1a5,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,Sandra B. Keans,ocd-person/0f7e49e8-f9da-49b1-b20a-24236d6c3997,
45942389-2d69-4d1d-8940-8fb5c08b96dd,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,other,Daniel A. Eaton,ocd-person/58818151-3b11-41f9-87ac-0fc7d51ffc6c,
20c33527-541b-405e-a4a3-22e9008e56b8,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,Laura C. Pantelakos,ocd-person/957b326c-6910-4328-afcb-533b975c2202,
61c64c5b-e1c1-4d42-8c22-480069bf57ef,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,Mary Jane Wallner,ocd-person/0e6f806c-ba57-4dc6-b6b4-f2a926288ca3,
9cca62f2-bbc5-4d36-94a4-bba08513b60a,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Dennis H. Fields,ocd-person/6858ee3a-07e9-4245-aa59-8859519cc67f,
1b14589a-873b-4119-9023-976d4e456cb4,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,John B. Hunt,ocd-person/35c51630-9b9c-411a-9b98-0842cb6093df,
02d4de09-2835-4c3a-aca2-b98e5991ac4b,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,Janet G. Wall,ocd-person/2830876f-1a4d-4332-ae2a-a97607c4e1b9,
c2c3417f-2f2e-4fff-a0c5-3aab15a51936,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,Sharon L. Nordgren,ocd-person/21d388d8-9203-4ffb-a4f5-66f843484349,
71e9df2f-e905-4d54-a39d-6195254fc30e,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Kathleen M. Hoelzel,ocd-person/a65ebf32-6e66-423f-89cd-12fad046acbb,
925a7212-62ea-4e35-8371-26723214bc18,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,Dan Toomey,ocd-person/be37b613-57a5-4a48-9c5d-9e9de547986f,
f7287b49-497b-4fce-8f2a-de47507f6b57,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,John F. Klose,ocd-person/14a5e400-2d52-40db-a26a-09182bf997ab,
8e9b1fd4-97c9-41c7-b9f0-a9d283b6e8f5,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,other,David E. Cote,ocd-person/fc07140c-ea9f-4f3f-9a44-17e7dcfc0b4b,
845ab4db-d3d2-4367-9b12-bf9083721429,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Kenneth L. Weyler,ocd-person/e2f9dd7e-b221-4cf0-b7de-5daa70658669,
ba0494b7-7e33-40dc-ab27-3d9ef6973e26,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,other,Robert J. L'Heureux,ocd-person/4e073ee0-c457-411e-9645-9aa18c45048d,
94f2682c-16f0-46fc-9d81-3602bf43888b,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Benjamin C. Baroody,ocd-person/018987e5-d731-41ed-8cce-b3266df24b64,
85444b8b-2bc0-4921-9c6c-5e29ec0d0d33,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Sherman A. Packard,ocd-person/e94c1d98-5454-40a2-8293-ee0998fee8ca,
b74519cb-911e-4bee-bd1c-b08240bf07be,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,John Sytek,ocd-person/81a14b0b-f5dd-4e7a-b500-c9dc0a56c2be,
ef2dc725-8c93-44cd-b451-1829ceafb6be,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,yes,John R. Cloutier,ocd-person/d3dab509-1268-4b4f-b363-98932002bf2e,
d59a2673-b69e-4f41-ae2e-c3c9794dd5b5,ocd-vote/7d6c77fd-f1e6-47ec-b299-933958933942,no,Edward M. Gordon,ocd-person/1e527c99-df26-4b70-8f9e-62df18dad8bb,
