id,media_type,url,version_id
b8eddc8b-9e73-41d1-b4d5-2da2d2ff9925,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0526h&txtFormat=amend,c73c9173-b292-4fa9-8c94-fce850cc3561
d3679d6d-ddcf-43d8-8f32-2d7c0c9758c0,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=253&txtFormat=html,f4f215f2-cf43-4c36-9360-0db56a44fe99
d11a8227-871e-47dd-9894-9079294d0e56,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1427s&txtFormat=amend,82fa4c54-a89a-4173-a616-976d8bb6e34b
9fb0eed3-3f1d-413c-ba15-1afda1847dc1,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0182h&txtFormat=amend,e4327022-2eee-4dea-a5ef-54eba47db1f2
6fa6d97a-91f5-45c2-b559-5111ef2584db,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=600&txtFormat=html,8d38a615-f9a5-44b3-b535-710fd4b7036e
a4a511ec-4e53-4ed0-a824-68aa128bf814,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2794h&txtFormat=amend,dc7e822d-02e5-45f9-adff-0ed02a8677bb
d4347617-ff69-49ac-ad1b-048934f29b9b,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=137&txtFormat=html,c98a1743-fd24-4d13-a9d1-452d384b1850
144c86a0-f57e-4b3b-acb7-3bcbb10dde61,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0652h&txtFormat=amend,db3e1517-7a4f-42c9-9338-343cf003a784
2dfc0120-aac3-42f2-84a7-acd1c553caf6,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0404h&txtFormat=amend,2cb468eb-0206-4513-ad90-8983d1da4f37
2d14302f-85da-4aaa-9077-0592728d3b42,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=591&txtFormat=html,7483f293-8f90-46cd-982f-9df972ab8f7d
