id,name,entity_type,organization_id,person_id,bill_id,primary,classification
f30becbe-9896-48bc-a667-43cd158bb10f,Carrie L. Gendreau,person,,ocd-person/33ce9791-5bd7-4f8a-a0a3-5aaf1c3efe22,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,True,primary
749ece73-9d16-4001-a44a-ad83aaeacba0,Arnold G. Davis,person,,ocd-person/4f07f5aa-c410-481b-b570-36ae37d64e24,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,False,cosponsor
32d707a4-4254-4cb6-b336-5e1cecc3a11b,James P. Gray,person,,ocd-person/e6443187-eb51-42eb-8bd7-349ed0ba9641,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,False,cosponsor
6a864b18-0e33-4443-999c-881e35727338,Kevin A. Avard,person,,ocd-person/b99b0bbb-4710-43c7-a6b5-0e04524eedf0,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,False,cosponsor
d9153eb7-c7eb-452d-8ab9-1811467958a5,David H. Watters,person,,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,False,cosponsor
1f607d9e-0ef1-40ec-88ba-8969d10b9921,James F. Horgan,person,,ocd-person/934b4d28-78b5-40ef-a194-d53d99cc430c,ocd-bill/899b4339-b6dd-498b-b5ac-37c87ad75142,True,primary
58afc623-484d-43bf-bba9-77390e72f155,Joseph A. Pitre,person,,ocd-person/5ce55936-fd73-4b3c-ba16-70e13734a3c8,ocd-bill/899b4339-b6dd-498b-b5ac-37c87ad75142,False,cosponsor
cb74fdc9-f2c5-47ae-8c0f-10d04270f588,Peter W. Bixby,person,,ocd-person/2c42e95c-0192-4910-9fc6-8a43b58c6467,ocd-bill/8ff516ef-027a-4182-87a9-8095a2889951,True,primary
876b56e0-1ab4-4a03-b5ce-ad8841e01e27,Cyril Nicholas Aures,person,,ocd-person/e4ac4259-d405-4839-af31-6c409719065c,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,False,cosponsor
e3df9b0b-2c3d-4fec-a8a9-866c1060ac0b,Bill Boyd,person,,ocd-person/6f592f37-cac8-4bf0-b12c-3a86f9b444dc,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,False,cosponsor
2e1cbf62-6e36-424c-9bad-6ba5b772de65,Jonathan F. Stone,person,,ocd-person/83491899-2a30-4a74-8f9d-6f1ff131b526,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,False,cosponsor
e428659c-e91c-45d2-ad7e-97dcba2bf42c,Maureen C. Mooney,person,,ocd-person/4a80db99-34b2-4d33-995b-41d889592bf3,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,False,cosponsor
4c8a35e3-f13f-43bc-9bc5-4b26dc643604,Tim S McGough,person,,ocd-person/18d80f49-9f78-441e-bf28-1ed0929b5fd3,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,True,primary
de4fac90-2e47-4fc8-bea8-724b06eb1b67,Joe Sweeney,person,,ocd-person/568a287b-89c6-44b7-a8e6-a5188ef7f9bc,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,False,cosponsor
ef072b35-40d1-4ae7-a2a6-212d96291898,Kenneth L. Weyler,person,,ocd-person/e2f9dd7e-b221-4cf0-b7de-5daa70658669,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,False,cosponsor
6472bc40-789d-4f7b-850e-edf80b849b87,Howard Pearl,person,,ocd-person/c4122c6a-ed23-492e-b813-59a0fed1ec86,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
101034a1-5de1-4211-9480-0e68e2266c5a,Will Darby,person,,ocd-person/4c6a4d79-307b-4e5f-9d63-ba4f60a6892c,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,False,cosponsor
4a47e475-983e-461f-bf0f-a9ca6948ce58,Matthew Coker,person,,ocd-person/3b11dc06-256a-430c-9f75-7ebe69267e4d,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,False,cosponsor
11cf6270-a2ac-4118-a589-d4217edeab9d,Rosemarie Rung,person,,ocd-person/1a5923c6-3e1f-4ebe-8739-17c9e9642403,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,True,primary
443e6bb8-1561-4c1e-831e-1439e33da731,Dan H. Wolf,person,,ocd-person/d24c83af-3362-4925-9c05-a6b776d3314c,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,False,cosponsor
644fba31-cfb0-4135-a503-01b183849168,Karel A. Crawford,person,,ocd-person/a0936f2f-8170-47f9-8b05-6c6697a95968,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,False,cosponsor
