id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/06a9f52b-18ec-4ebb-a9d8-177ec5fbffe1,,OTPA,['passage'],2024-01-04T10:52:05-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/df9f2d6f-f893-4606-8f5c-913b8b00cfba,,New Hampshire,2024
ocd-vote/6ba44e50-bfac-4c7b-a3ca-17a9d53ecef5,,Adopt Amendment,['passage'],2024-01-04T11:13:47-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/cc60e12f-c29a-4c73-af33-fdbdf6e297a6,,New Hampshire,2024
ocd-vote/6d7c29a3-7a57-484c-8d7a-e69d6a6c7159,,OTPA,['passage'],2024-01-04T11:26:18-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/cc60e12f-c29a-4c73-af33-fdbdf6e297a6,,New Hampshire,2024
ocd-vote/837d2e03-39d7-440b-a8b0-b776de3bf17d,,Table,['passage'],2024-01-04T11:57:59-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/aa918314-cdfa-48db-895b-3031d36aa28e,,New Hampshire,2024
ocd-vote/1b6e5c7a-0cfa-49ac-a915-aaba60f57524,,OTPA,['passage'],2024-01-04T13:45:06-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fe217857-7c02-40cd-97ae-6b96368e7556,,New Hampshire,2024
ocd-vote/6e284c4d-0035-42e6-bd80-e6a77050b8b0,,ITL,['passage'],2024-01-04T14:13:10-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/88e56c6a-db2d-46ca-9baf-5710fca813cd,,New Hampshire,2024
ocd-vote/2002a856-223b-4454-adfe-a6f0268a13da,,OTPA,['passage'],2024-01-04T14:38:44-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/5e2ab333-9bc0-46a2-9e23-9e33385c5597,,New Hampshire,2024
ocd-vote/bd91128b-b835-480a-a16c-9cd1cf065cfd,,ITL,['passage'],2024-01-04T15:22:05-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/48762f7b-b818-4f5c-8b45-cea593066434,,New Hampshire,2024
ocd-vote/38e20766-9179-406c-bb1d-18fb831200ce,,ITL,['passage'],2024-01-04T15:59:03-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/c41fa6ab-8290-4d95-951f-d19b7a6257fb,,New Hampshire,2024
ocd-vote/1b6e5468-72c2-4859-8746-64fac463aa71,,ITL,['passage'],2024-01-04T16:12:24-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/d2230960-1a9a-4b78-be3c-287b10130ed8,,New Hampshire,2024
ocd-vote/be14d287-4fce-4548-9077-018c819c19e9,,Ought to Pass w/Amendment,['passage'],2024-01-18T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/2b37aac9-700f-40b6-bb86-ecf14fff95fe,,New Hampshire,2024
ocd-vote/65dc2fc8-6759-4da5-9063-f07ccec94a71,,Ought to Pass,['passage'],2024-01-18T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/7a29ea52-edbd-4cee-9a7c-cd38081197e9,,New Hampshire,2024
ocd-vote/17e46d1f-8ab5-4faf-a5f5-7ccafe19e40a,,Inexpedient to Legislate,['passage'],2024-01-18T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/360b879f-af8b-4620-9a97-9e73ad67f924,,New Hampshire,2024
ocd-vote/c84505b0-b822-4f84-90f4-c6735c4d7c36,,Inexpedient to Legislate,['passage'],2024-01-18T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/360b879f-af8b-4620-9a97-9e73ad67f924,,New Hampshire,2024
ocd-vote/a5a49a2c-15a0-4390-b705-f17d84003af7,,Ought to Pass,['passage'],2024-01-18T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/757e30d9-b535-448d-be47-0f8bb5cb6f4f,,New Hampshire,2024
ocd-vote/102eb8cf-a357-4b4d-83ee-117ce9cb270c,,ITL,['passage'],2024-02-01T10:53:30-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/cc6653b8-4a30-4947-96b6-cc0a70b86ced,,New Hampshire,2024
ocd-vote/19e6e7e1-cfee-4f31-8ac3-38650b533567,,OTP,['passage'],2024-02-01T11:01:30-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fdfb3406-d7cd-46c7-af11-ef5009e21270,,New Hampshire,2024
ocd-vote/5984bc0a-add4-4643-a705-2d048e610eb6,,OTP,['passage'],2024-02-01T11:36:43-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/bb7d0417-3186-4dbd-a54a-eeaf24e14bf7,,New Hampshire,2024
ocd-vote/fc9a7572-0fb5-43c3-aaa5-7041d657e089,,OTPA,['passage'],2024-02-01T12:14:38-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/0d3d3630-f4dd-4aff-b17b-3bd12bfe8671,,New Hampshire,2024
ocd-vote/9da5110c-3fc8-40de-b42d-ebacd7c3e409,,Indefinitely Postpone,['passage'],2024-02-01T13:50:06-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/333d0aca-9199-4b24-a6c0-0171b466ffb2,,New Hampshire,2024
ocd-vote/5da576d8-acaf-4698-a043-5dad18fa6354,,Adopt Floor Amendment,['passage'],2024-02-01T14:19:02-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/39ba97c6-a509-4486-a34a-7414c3a19d1a,,New Hampshire,2024
ocd-vote/3c2c7dec-c62b-4b45-a7e5-035b2fa38bdf,,OTP,['passage'],2024-02-01T14:21:10-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/39ba97c6-a509-4486-a34a-7414c3a19d1a,,New Hampshire,2024
ocd-vote/7a8a678b-a95a-4ae6-8b42-59787e789093,,ITL,['passage'],2024-02-01T14:33:08-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/5d299dad-98ac-420b-9b83-0744b1872ef6,,New Hampshire,2024
ocd-vote/6f6327d5-207f-4e52-af51-aa37ed96859d,,OTP,['passage'],2024-02-01T15:02:20-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/5c4dce5c-9799-49fc-8958-e01186ae0d07,,New Hampshire,2024
ocd-vote/d24c1d82-7166-4886-8a77-eb64356fe1a7,,OTP,['passage'],2024-02-01T15:15:13-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/897bd820-81b9-4939-a41b-f04159a3f5ef,,New Hampshire,2024
ocd-vote/331994dd-a4dc-4074-ae06-96c48096c351,,OTP,['passage'],2024-02-08T11:30:06-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/07a5aae2-532a-4d59-b7ec-c624cd333f4a,,New Hampshire,2024
ocd-vote/9d6b3e08-b4c6-4441-9f9e-23ca9c7a591f,,Reconsider,['passage'],2024-02-08T11:33:22-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/07a5aae2-532a-4d59-b7ec-c624cd333f4a,,New Hampshire,2024
ocd-vote/35fda36a-2d8a-4802-bee3-e7ce3b5da613,,OTP,['passage'],2024-02-08T11:48:55-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/7f88641e-defb-459a-99bc-468a945c0968,,New Hampshire,2024
ocd-vote/68fee8dc-02a9-46eb-9053-10f50556511d,,Reconsider,['passage'],2024-02-08T11:52:08-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/7f88641e-defb-459a-99bc-468a945c0968,,New Hampshire,2024
ocd-vote/e95cbbf2-e048-4d58-8fb7-41e4ea9ddf9f,,OTP,['passage'],2024-02-08T13:22:19-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/f99c380a-83e5-4a49-9a2c-8d134c6e8ca7,,New Hampshire,2024
ocd-vote/7ce03092-c0ee-4b91-ade5-69105efc5b2f,,OTPA,['passage'],2024-02-08T13:43:19-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fe6dc418-2725-4279-b226-5200f45bf021,,New Hampshire,2024
ocd-vote/06e873e2-a1d1-4edd-8196-e9f1ac9dcf42,,Reconsider,['passage'],2024-02-08T13:47:49-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/f99c380a-83e5-4a49-9a2c-8d134c6e8ca7,,New Hampshire,2024
ocd-vote/000181e2-a75b-437b-a7fe-a51a05b1f1cf,,ITL,['passage'],2024-02-08T14:04:30-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/f13b420a-bef4-45d0-b1df-6b509f31d1d5,,New Hampshire,2024
ocd-vote/bd02d1c9-3d05-49b1-919b-2f0658617799,,ITL,['passage'],2024-02-08T14:12:18-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/12bd05ac-05c3-4baa-b315-10d7c3b20815,,New Hampshire,2024
ocd-vote/d066fb23-b058-4d78-b42d-e45ba88697d5,,Indefinitely Postpone,['passage'],2024-02-08T14:23:15-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/54121d43-81d7-4f4f-8775-43ee2140e73e,,New Hampshire,2024
ocd-vote/729ec7f3-f1d7-4766-bf23-688bfcb42281,,Ought to Pass w/Amendment,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/0f48e65b-91d4-439e-b199-f09a4ee8e2cb,,New Hampshire,2024
ocd-vote/0405235f-6f0b-4064-a815-6a1f2d1b2b56,,Ought to Pass,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/7fd2a75c-45db-4f37-b91c-7d1b3e10d96b,,New Hampshire,2024
