id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/4d7eda3f-5799-41f6-99fa-3a5e53202214,SB 602,making an appropriation to the university system of New Hampshire and the community college system of New Hampshire for marketing of hospitality management programs.,['bill'],[],2024,New Hampshire,upper
ocd-bill/a7528f97-77b2-44f8-ac01-1b87fd55c8ed,SB 495,relative to certification of alcohol and other drug use treatment facilities.,['bill'],[],2024,New Hampshire,upper
ocd-bill/e87a7ae4-c62c-42d4-97ed-4854bd1a49b4,SB 560,"relative to establishing a committee to study the impact of pharmacy benefit manager operations on cost, administration, and distribution of prescription drugs.",['bill'],[],2024,New Hampshire,upper
ocd-bill/83ba3366-bf76-49af-b3bb-ac4079bd6642,SB 546,removing the requirement that an executory interest be conveyed to the state of New Hampshire in all easements acquired through the use of LCHIP program funds.,['bill'],[],2024,New Hampshire,upper
ocd-bill/4bfd927e-206e-46ff-8260-a41312016992,HB 1193,relative to the establishment of a child care tax credit program.,['bill'],[],2024,New Hampshire,lower
ocd-bill/8bdb812f-2fe7-4cf4-97da-166c47d38d2f,SB 334,relative to providing for the issuance of bonds and other obligations by the business finance authority of the state of New Hampshire to finance student loans.,['bill'],[],2024,New Hampshire,upper
ocd-bill/021c67d0-e7e6-46cb-a2b6-09dbe7fea99c,SB 557,relative to prohibiting discriminatory actions related to participation in the federal 340B Drug Pricing Program.,['bill'],[],2024,New Hampshire,upper
ocd-bill/e0a8b4c7-051a-4884-8c7f-c1e6799e57bc,HB 1512,limiting education freedom account funding to budgeted amounts.,['bill'],[],2024,New Hampshire,lower
ocd-bill/5027e999-6eec-4cb5-a6cd-a673de3b3b4d,SB 185,establishing a committee to study the various barriers to discharge for patients to be safely discharged from acute care facilities.,['bill'],[],2024,New Hampshire,upper
ocd-bill/de067f64-d6d2-4af4-b831-c14b209a0ac1,SB 391,relative to electric grid interconnection for certain customer generators.,['bill'],[],2024,New Hampshire,upper
ocd-bill/5eeb24d6-cc46-4935-8d28-8281fee458ff,HB 326,prohibiting the use of second generation anticoagulant rodenticides.,['bill'],[],2024,New Hampshire,lower
ocd-bill/9e226ee4-9f2f-44b1-8bc7-6fcbe61fea50,HB 1182,adding certain equine practices to the definition of animal cruelty.,['bill'],[],2024,New Hampshire,lower
ocd-bill/51fe46c0-8102-43fa-8aa7-5ce8322a94a1,HB 1042,repealing the requirement that each pharmacy establish a continuous quality improvement program.,['bill'],[],2024,New Hampshire,lower
ocd-bill/11d60b64-62c0-4846-9a43-7456ae187f9b,SB 556,prohibiting health carriers from establishing payment or reimbursement provisions based solely on a participating advanced practice registered nurse's licensure.,['bill'],[],2024,New Hampshire,upper
ocd-bill/be5548c9-6581-4e8d-bd61-eafdbe0449f0,SB 439,to prohibiting discriminatory boycotts of Israel in state procurement and investments.,['bill'],[],2024,New Hampshire,upper
ocd-bill/25492b63-0c23-4d91-8715-38c5369e62bd,HB 1258,relative to a waiver from property taxes for disabled veterans.,['bill'],[],2024,New Hampshire,lower
