id,media_type,url,document_id
cd481994-b90e-4969-adef-aba772b32700,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1808s.html,31cb76bd-7b9b-40e6-a978-03df859cb955
f9de040c-8279-4efe-8b21-b5153848d26d,,https://www.gencourt.state.nh.us/legislation/amendments/2024-0984s.html,438ebd0e-12ff-41c4-87a2-62b8a5750883
c4a35b26-a4ed-43ae-9eb7-98940a73f87b,,https://www.gencourt.state.nh.us/legislation/amendments/2024-0966s.html,a11373b2-de94-41bc-86f1-7ec807b25746
998a1a6b-da04-4ad2-acf8-106d31ca6901,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1648s.html,1383ceda-937c-43bd-9b92-b63c21122e7e
ce14ec60-3be5-4744-8d86-6c5ee7d0472e,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1111s.html,97bf31a3-862d-4ca2-bd15-30d0fc80fbda
80947112-d8c9-4c04-8894-7eb567458463,,https://www.gencourt.state.nh.us/legislation/amendments/2024-0993s.html,d8f620bb-d94a-42b4-afd3-de47078b0568
f3b6a38f-f199-49aa-bb33-5851d9a00354,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1606s.html,b7800c90-eaed-4cf6-a78e-6903c32acc97
80e0fd82-cb2d-48d9-aad7-f5900ab866e0,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1877s.html,732cec74-3e9e-4e42-9501-2a97ee64452a
5694f97d-6420-4ef4-8d50-9debbc4765a8,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1828s.html,b2fe99bd-d615-495d-958c-8d6c69e7e876
c84dc16b-b9ac-4e9a-b2d8-5cde173cd19a,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1732s.html,722ce158-462f-4391-935a-86f392eca48c
ff402ba6-0c8c-486a-8d63-e6a144de28ef,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1112s.html,74b5b460-8d06-415d-8ea4-1206b4f357e3
57ec5307-2698-413f-ba14-75072abdf2fc,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1817s.html,179d94a5-73e2-4947-b677-1c0c49f92674
d3f32321-2edb-4ce6-9e97-b313d844f42f,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1624s.html,bfedd91f-a8fd-4079-9b2f-322a4ddde6e1
6f53a2a1-61f2-47e6-9ba1-cd1e262ea656,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1876s.html,ad4acb70-ed05-4076-8342-72b08fe6253f
9dd8d1f6-ff91-4250-a955-50d8de92de10,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1716s.html,2621a284-3b75-4751-881b-c6c0630fc202
7544deb0-f35d-4285-b10f-59b7dcd88451,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1101s.html,1eda0b63-5c44-41d7-b664-ee9c49a3e5e9
bde22227-ee36-485d-8339-713b1eda080d,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1619s.html,ce8622d2-2e1d-4352-a6fa-a2c8b61e5653
70fdbbe5-8b1e-42f1-a722-e1d2a04c7296,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1089s.html,9b09f0a6-c217-4e4b-b594-fe1c27b22600
c19f1f2d-4d5a-405b-92a3-caec42dfb5b1,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1608s.html,a80aaf4a-2708-4ae8-bc0d-0ed3f44513dd
518d4527-4276-458c-a2d6-a9dd25102622,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1874s.html,75f09ce9-26c4-4fe8-9354-2376e8e7c4a7
12183e4a-1ed8-4f64-a71a-eee872e90aca,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1985s.html,ed6d9198-f5d1-457b-bb34-dc54c30ec3e6
5eb77c19-5c31-4416-9488-bd985ec0466e,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1614s.html,0be58192-72a0-4562-853a-bddc156167f9
5779a76e-64fa-4d08-a64e-83b15ee24f16,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1618s.html,ee372b23-5c08-48a7-8a2b-cceb09042a7f
e4b71e0e-eb99-4c5d-a3c5-2dd02f9f96a7,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1868s.html,81ee0a92-2143-4008-9cdb-68812568fde7
a8b8babf-6128-4d4e-a624-4dcf15a09ff1,,https://www.gencourt.state.nh.us/legislation/amendments/2024-0974s.html,840760c6-4d2b-414b-ae16-243015c7e259
0737ba11-84b6-4ffb-a090-4c1415dbcea8,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1870s.html,41b6588d-3158-48a8-b6d3-b27963e39266
21315d3e-b3f0-4340-b9f7-0aef706bfea9,,https://www.gencourt.state.nh.us/legislation/amendments/2024-1821s.html,151cad44-0051-4135-a911-fee0eb73aee3
4fb4560e-1a6f-4e75-89bd-777860bd51b0,,https://www.gencourt.state.nh.us/legislation/amendments/2024-2095s.html,07615a06-e58f-453f-a05e-df62a25f325a
