id,vote_event_id,option,value
c2aec5a6-e63f-4a9e-9fc3-debfb9612633,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,28
850faea1-98de-4e66-bd5b-88e68817f38d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,178
6343eba6-ff04-469e-b12b-97f02ec24f50,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,188
97da6bef-0d33-401b-8f1a-5233339d3285,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,10
ee11bbea-19bf-40d6-a3ac-ddf0ee07d46c,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,14
fecb3062-d383-47e6-9d87-e779379f27d6,ocd-vote/331994dd-a4dc-4074-ae06-96c48096c351,other,14
d7878114-0115-45f9-ab07-5544f1fe31bd,ocd-vote/331994dd-a4dc-4074-ae06-96c48096c351,no,197
2bb1919a-61a9-4116-a766-4825446c2123,ocd-vote/331994dd-a4dc-4074-ae06-96c48096c351,yes,185
e040d3e2-2e46-4d53-aaa2-7e1de8fe281d,ocd-vote/0405235f-6f0b-4064-a815-6a1f2d1b2b56,other,1
112ba6c4-5a2b-48ed-92f1-056c87556cc5,ocd-vote/0405235f-6f0b-4064-a815-6a1f2d1b2b56,no,0
8df8a1c6-5ea8-4aa3-85b4-28d191d5b11b,ocd-vote/0405235f-6f0b-4064-a815-6a1f2d1b2b56,yes,23
0ad2558e-633d-4a95-b23c-da1b9fddc9bd,ocd-vote/d081d40f-ee78-4a6b-8f7a-6be1c5abab53,other,1
c12aa6cd-e7b5-4fcc-9052-77453d61297e,ocd-vote/d081d40f-ee78-4a6b-8f7a-6be1c5abab53,no,10
7cc7c1a3-fa2b-45a2-b9a9-099bc48cb074,ocd-vote/d081d40f-ee78-4a6b-8f7a-6be1c5abab53,yes,13
1841afd7-2786-4b87-b51d-895d90ca9de5,ocd-vote/f2a52699-a401-4d86-b4f4-a4280c95ad5e,other,31
96a668a3-ec7d-4965-a8cf-91cdc76867c7,ocd-vote/f2a52699-a401-4d86-b4f4-a4280c95ad5e,no,185
1dad4b90-fdbf-49d2-93b6-c09d3cae4840,ocd-vote/f2a52699-a401-4d86-b4f4-a4280c95ad5e,yes,177
c81b38cb-e34a-486c-a785-622db0414ba9,ocd-vote/6c76d89a-4e30-42bb-b175-bbe127f3d771,other,43
d47dac16-c89a-46e6-bc8e-bc3a63fa60d3,ocd-vote/6c76d89a-4e30-42bb-b175-bbe127f3d771,no,175
c0645161-f55e-4b36-90c9-81f0f93b758a,ocd-vote/6c76d89a-4e30-42bb-b175-bbe127f3d771,yes,176
380ef1fe-204c-4c1d-9fc7-d2de30c4bf32,ocd-vote/89e2c47d-fe88-46ff-abbf-64f85efd5b51,other,18
9ca43295-bf23-4e4b-a556-4e7d3f731b28,ocd-vote/89e2c47d-fe88-46ff-abbf-64f85efd5b51,no,174
1d942b0a-3a25-4bc7-b69a-d49ac571107d,ocd-vote/89e2c47d-fe88-46ff-abbf-64f85efd5b51,yes,203
86edccab-7ae0-4d41-b7fa-03af5ff27b19,ocd-vote/7a30cdf3-d917-4d98-99b0-23d821eb427c,other,25
453015ee-d345-4f1d-8524-af317bfe82cb,ocd-vote/7a30cdf3-d917-4d98-99b0-23d821eb427c,no,184
b71ad4a4-67c7-4c2a-bee7-3a7fb4cb54b7,ocd-vote/7a30cdf3-d917-4d98-99b0-23d821eb427c,yes,187
74edd546-98a9-43b9-abaa-38a944965cd2,ocd-vote/905c3584-16ed-46ec-aca5-e3fd0c4aded1,other,26
7c263af6-3bd1-4a8e-a241-5449a2741012,ocd-vote/905c3584-16ed-46ec-aca5-e3fd0c4aded1,no,165
6f0dc7d7-ec2e-439f-9bf7-1b5f29f68a80,ocd-vote/905c3584-16ed-46ec-aca5-e3fd0c4aded1,yes,202
66b92221-20e8-479f-b653-778127ae9584,ocd-vote/792e8d40-7dc0-4bfb-b0bd-4adf95701622,other,30
d17582e2-6f11-4264-b2b7-7ce3ed025f8b,ocd-vote/792e8d40-7dc0-4bfb-b0bd-4adf95701622,no,122
109c56c2-3bff-4591-a101-0817967cddf9,ocd-vote/792e8d40-7dc0-4bfb-b0bd-4adf95701622,yes,241
80a2139f-ca80-429c-9de1-738196d91fe2,ocd-vote/3a5af5d8-cb04-4ca3-a22c-75c71355712b,other,31
7efcaf76-78d3-403d-b817-8360c8b50b7e,ocd-vote/3a5af5d8-cb04-4ca3-a22c-75c71355712b,no,187
7e8d5a56-4481-409d-8142-501c2293971b,ocd-vote/3a5af5d8-cb04-4ca3-a22c-75c71355712b,yes,175
1c939d16-e881-4393-a2e7-ae3002a49c3a,ocd-vote/561bec6b-cd21-48f6-be76-43ccbe0da3b8,other,24
75db1df7-8df5-4f1e-acb3-d6d600160f61,ocd-vote/561bec6b-cd21-48f6-be76-43ccbe0da3b8,no,182
38109a44-8708-433a-8037-3250e3b2130b,ocd-vote/561bec6b-cd21-48f6-be76-43ccbe0da3b8,yes,189
