created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2017-07-13 05:16:37.679581+00:00,2017-07-13 05:16:37.679595+00:00,{},ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,New Hampshire General Court,,ocd-jurisdiction/country:us/state:nh/government,legislature,[],[],[]
2017-07-13 05:16:37.711643+00:00,2020-04-29 05:15:06.099113+00:00,{},ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,House,ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,ocd-jurisdiction/country:us/state:nh/government,lower,[],[],[]
2017-07-13 05:16:37.717441+00:00,2020-04-29 05:15:06.786088+00:00,{},ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Senate,ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,ocd-jurisdiction/country:us/state:nh/government,upper,[],[],[]
2020-08-03 17:48:24.924025+00:00,2020-08-03 17:48:24.924050+00:00,{},ocd-organization/59217435-34d3-59ec-9673-733ae8b276d3,Office of the Governor,,ocd-jurisdiction/country:us/state:nh/government,executive,[],[],[]
2021-11-22 11:16:29.774640+00:00,2024-10-09 23:58:47.742710+00:00,{},ocd-organization/91200dc3-61f6-455a-b37b-97b9b627aa89,Commerce and Consumer Affairs,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=29', 'note': 'Committee details page'}, {'url': 'https://www.gencourt.state.nh.us/house/committees/standingcommittees.aspx', 'note': 'Committees list page'}]","[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=29', 'note': ''}, {'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=29', 'note': ''}]","[{'name': 'House Commerce and Consumer Affairs', 'end_date': '', 'start_date': ''}, {'name': 'House Commerce and Consumer Affairs Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Commerce and Consumer Affairs', 'end_date': '', 'start_date': ''}]"
2021-11-22 11:16:30.046731+00:00,2024-10-09 23:58:47.817630+00:00,{},ocd-organization/9f0c8c8b-6975-41ba-af5d-75d036a94404,Municipal and County Government,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=11', 'note': 'Committee details page'}, {'url': 'https://www.gencourt.state.nh.us/house/committees/standingcommittees.aspx', 'note': 'Committees list page'}]","[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=11', 'note': ''}, {'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=11', 'note': ''}]","[{'name': 'House Committee on Municipal and County Government', 'end_date': '', 'start_date': ''}, {'name': 'House Municipal and County Government', 'end_date': '', 'start_date': ''}, {'name': 'House Municipal and County Government Committee', 'end_date': '', 'start_date': ''}]"
2021-11-22 11:16:29.502670+00:00,2024-10-09 23:58:47.892062+00:00,{},ocd-organization/0d3b3c46-c395-4cb3-ab79-3d2176cf9c99,Children and Family Law,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=24', 'note': 'Committee details page'}, {'url': 'https://www.gencourt.state.nh.us/house/committees/standingcommittees.aspx', 'note': 'Committees list page'}]","[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=24', 'note': ''}, {'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=24', 'note': ''}]","[{'name': 'House Children and Family Law', 'end_date': '', 'start_date': ''}, {'name': 'House Children and Family Law Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Children and Family Law', 'end_date': '', 'start_date': ''}]"
2023-01-19 12:27:43.745706+00:00,2024-10-09 23:58:47.966978+00:00,{},ocd-organization/5a848e1e-2457-4f1a-85e4-1ba10e987e64,Special Committee on Childcare,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=1623', 'note': 'Committee details page'}, {'url': 'https://www.gencourt.state.nh.us/house/committees/standingcommittees.aspx', 'note': 'Committees list page'}]","[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=1623', 'note': ''}, {'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=1623', 'note': ''}]","[{'name': 'House Childcare Special', 'end_date': '', 'start_date': ''}, {'name': 'House Childcare Special Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Childcare Special', 'end_date': '', 'start_date': ''}]"
2021-11-22 11:16:29.574780+00:00,2024-10-09 23:58:48.042468+00:00,{},ocd-organization/eb0d934e-b167-4d17-af64-1ee993ff77f3,"Science, Technology and Energy",ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=15', 'note': 'Committee details page'}, {'url': 'https://www.gencourt.state.nh.us/house/committees/standingcommittees.aspx', 'note': 'Committees list page'}]","[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=15', 'note': ''}, {'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=15', 'note': ''}]","[{'name': 'House Committee on Science, Technology and Energy', 'end_date': '', 'start_date': ''}, {'name': 'House Science, Technology and Energy', 'end_date': '', 'start_date': ''}, {'name': 'House Science, Technology and Energy Committee', 'end_date': '', 'start_date': ''}]"
2021-11-22 11:16:29.358653+00:00,2024-10-15 22:44:19.819778+00:00,{},ocd-organization/fbe65712-5957-4464-bed7-ae1c8b27a48f,Judiciary,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=5', 'note': 'Committee details page'}, {'url': 'https://www.gencourt.state.nh.us/house/committees/standingcommittees.aspx', 'note': 'Committees list page'}]","[{'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=5', 'note': ''}, {'url': 'https://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=5', 'note': ''}]","[{'name': 'House Committee on Judiciary', 'end_date': '', 'start_date': ''}, {'name': 'House Judiciary', 'end_date': '', 'start_date': ''}, {'name': 'House Judiciary Committee', 'end_date': '', 'start_date': ''}]"
