id,bill_id,note,date,classification,extras
4d3ead79-b5f0-4c5b-b626-1502fff85fdf,ocd-bill/7f88641e-defb-459a-99bc-468a945c0968,latest version,,,{}
04561ee3-a820-4b60-9fa7-8872b9cf9c1d,ocd-bill/8154f781-aeb1-492e-b854-1f3ecda2da9e,latest version,,,{}
dfa6c3c2-b8ee-4938-a8b1-0f5a99a2ebad,ocd-bill/7a0c21ab-c1bd-4620-8c3d-63a97bd0d80a,Amendment #2023-0519s,,,{}
394b7aad-65ab-48f2-a265-6da7c0352657,ocd-bill/d03d66cd-b1c4-4f69-8bb5-a761543ccf3d,latest version,,,{}
9f9900b9-609b-4910-85fd-a1c842ec0909,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,Amendment #2024-1434s,,,{}
ddccc40a-38c1-4866-b165-960d2fe76e3c,ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,latest version,,,{}
0cf62fd3-587d-456d-a8cf-fe99183994b3,ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,latest version,,,{}
6f91cee6-8720-46bb-93fd-1e174d1777e7,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,latest version,,,{}
49d6e338-ed01-4c45-9f9c-62d547ca16f8,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,Amendment #2023-0159h,,,{}
63b0b049-64c7-4677-b445-8036f654f74c,ocd-bill/a4c1f400-423d-4c29-b73e-34758b4ca73b,latest version,,,{}
d0616b11-b191-4eb9-a8b8-492dbe1a2ce7,ocd-bill/344036c3-b244-424c-9bb5-4ee83c33a270,latest version,,,{}
7355dbc9-6b26-475f-9a1c-466c05cb3628,ocd-bill/1f9ecdb8-1809-47b3-a8e6-3f8622732e8d,Amendment #2024-0237h,,,{}
1fe5043f-1b3c-47df-b4ae-e62ed79dae3b,ocd-bill/1f9ecdb8-1809-47b3-a8e6-3f8622732e8d,latest version,,,{}
bae8b2b2-a931-49ad-8249-bba87f9ee316,ocd-bill/909fe3dd-88d8-44ea-80c4-0ce87766c734,latest version,,,{}
f2225301-ba4b-4916-b065-df491b9434c2,ocd-bill/faca1dd2-77d6-4b7e-a086-f29bf82c88e5,Amendment #2023-0586h,,,{}
7acc668a-c256-49a9-acc5-bf346d578154,ocd-bill/c1d4735f-46f4-44d7-bc06-fc03f5b20e3d,Amendment #2024-0088e,,,{}
b545250f-7571-43b6-9e8b-69ed500b2fb8,ocd-bill/333d0aca-9199-4b24-a6c0-0171b466ffb2,latest version,,,{}
48cd78d6-de33-44e0-b107-bc5b47496e42,ocd-bill/b356e581-4c81-447a-a76a-d270ac90cc31,Amendment #2024-0861s,,,{}
1690b0e5-99f2-49e6-899b-4ee5b7c3b562,ocd-bill/b356e581-4c81-447a-a76a-d270ac90cc31,latest version,,,{}
45baffdb-a4fe-439b-b91c-084e8520cc44,ocd-bill/15052dd6-5b0d-4684-9925-9ac164a13f59,Amendment #2024-2336e,,,{}
8d7fbb4c-a823-4356-9240-c54eeaa39114,ocd-bill/f532c5a4-1b6c-4362-bcf9-9fbffa13017e,Amendment #2024-1040h,,,{}
c35debe2-f672-4c78-85cf-ca8126219391,ocd-bill/f532c5a4-1b6c-4362-bcf9-9fbffa13017e,latest version,,,{}
c35e7cee-9874-4144-90e9-2a2c60a5bbc6,ocd-bill/15052dd6-5b0d-4684-9925-9ac164a13f59,latest version,,,{}
12cf841d-ff47-4c20-afab-9aa16a805aa5,ocd-bill/677273e3-3ae0-440f-99fe-865f09b4d698,latest version,,,{}
0c4b8580-8771-4e70-87db-3d639e7ca5c7,ocd-bill/9ae756d4-baa0-45c6-b07b-0d08674d3c0c,latest version,,,{}
a3bb90fe-953d-40b1-a5ef-64f74300e72a,ocd-bill/fbdebbd0-66cd-4577-915c-61d94355e248,Amendment #2024-1740s,,,{}
9d2820f1-5c07-4922-8075-127c55c7e974,ocd-bill/fbdebbd0-66cd-4577-915c-61d94355e248,latest version,,,{}
9e04ddfe-668c-43ed-a45f-81248bdbb2e6,ocd-bill/d8c9cb64-1493-43ae-86d3-45ada8b1ea57,latest version,,,{}
9d4bc067-5d2d-45c4-97e0-5d7642cd1484,ocd-bill/2d9da6a6-2c63-4125-b931-e7b29f6a2a29,latest version,,,{}
a20f49f9-e845-432f-abcf-817a3fdcf394,ocd-bill/68420b01-7e41-4fe2-afa8-8b82f676a1d8,latest version,,,{}
f880e05b-5f09-43d1-b29b-bf87c112702a,ocd-bill/7983fa28-1df9-433f-af18-b674f1a5ff0e,latest version,,,{}
08337d2e-e7ba-4f9c-b5e4-fa02e64c86b6,ocd-bill/40c5065d-ed19-4f80-ae7b-831d96612bac,Amendment #2023-2324h,,,{}
2167fe1c-a692-4e67-8059-3d3517f017f4,ocd-bill/74596556-4173-472d-95ef-81f985c909de,latest version,,,{}
2ef645a3-e3e7-4e0a-b286-9b40441f7f90,ocd-bill/0f8ba45c-042a-459f-bf5a-05d8e201cc8e,Amendment #2024-2344e,,,{}
3bdfb0e6-d432-40f8-9f00-4bb907b96138,ocd-bill/0f8ba45c-042a-459f-bf5a-05d8e201cc8e,latest version,,,{}
8f11ca76-57c0-4c69-87c3-37a11745db95,ocd-bill/e7d458a5-030f-4358-b6d7-5d365863ed42,Amendment #2024-1723s,,,{}
a1ccaa12-5646-414c-a02a-45a195a94341,ocd-bill/e7d458a5-030f-4358-b6d7-5d365863ed42,latest version,,,{}
fbd589f3-ba54-4d22-9dfd-3fc8a67c7a0c,ocd-bill/3b42597b-0fe6-4d31-ae46-99b0170836e5,Amendment #2024-2155s,,,{}
de042da4-335f-4364-9b73-350b41c34a09,ocd-bill/3b42597b-0fe6-4d31-ae46-99b0170836e5,latest version,,,{}
e3e3411d-ac3f-4975-8643-e19a1447a51f,ocd-bill/fe217857-7c02-40cd-97ae-6b96368e7556,Amendment #2024-1969s,,,{}
1931fff1-dd62-4abe-82b6-e64f61f5db5d,ocd-bill/cc51d120-f7bc-42d5-82e6-6594f8074a1b,Amendment #2024-1966s,,,{}
192dbe62-9bcc-49b0-9ad9-35c81f0e9202,ocd-bill/cc51d120-f7bc-42d5-82e6-6594f8074a1b,latest version,,,{}
5f6ef70a-9447-4d68-9661-066f130eae89,ocd-bill/0b8c0c31-fa41-412a-9d8b-9b9b8e94a3d5,Amendment #2024-0894h,,,{}
b7c22104-3ffd-4558-8090-7d9a55128e96,ocd-bill/497565d7-ab35-4eba-959e-4104d21ebb08,latest version,,,{}
32bd3d19-ac77-4adb-a8a7-3e29a4cfcec8,ocd-bill/a6548818-f73b-49ae-9318-ef94f6aeaae9,latest version,,,{}
34a61e85-a088-4acf-a2b5-2fc346802135,ocd-bill/64ffff42-087a-4348-bd70-3e32f080b693,latest version,,,{}
2bb5970e-ba52-45d2-a654-6be950dff1dc,ocd-bill/6182b1a3-8623-441d-8daf-6bf2fb965258,latest version,,,{}
7916c1bb-b44f-4e1e-a479-6c2c12402ab9,ocd-bill/820a68d0-e279-413c-bf7b-7e35d4969bb3,Amendment #2024-1564s,,,{}
6fb796ba-6006-4cc1-b9c9-946c3065e784,ocd-bill/820a68d0-e279-413c-bf7b-7e35d4969bb3,latest version,,,{}
d728e639-fcf2-4aed-af78-3eb60a082567,ocd-bill/0b8c0c31-fa41-412a-9d8b-9b9b8e94a3d5,latest version,,,{}
82035365-38ee-4332-afcd-e72b7b0a6b4d,ocd-bill/26372b3b-3574-4d1e-a778-301081d4f2fb,Amendment #2024-2322e,,,{}
c95aa7f7-aeab-4b1f-a53b-103bcd8288b9,ocd-bill/c89e18f0-b06b-494c-9a00-705431a5e1aa,Amendment #2024-0506h,,,{}
af51c2ae-36d8-4e0f-a913-3cd7c19ee603,ocd-bill/c89e18f0-b06b-494c-9a00-705431a5e1aa,latest version,,,{}
85fd1a97-61da-4521-9e86-e98d9186ba98,ocd-bill/62362517-f176-4164-bae7-a525bf6679a5,latest version,,,{}
c2197dd2-d2ac-459c-8db5-7bf74deb10fe,ocd-bill/26372b3b-3574-4d1e-a778-301081d4f2fb,latest version,,,{}
692b7641-4fce-4bad-878c-6895b61bc5c8,ocd-bill/386186dd-c102-4a1f-8036-db995e74873a,latest version,,,{}
c5c25ba5-d1ed-409e-9991-c4a333d9d789,ocd-bill/1fac1333-1ba2-4e5d-ba80-65fe18987a3d,latest version,,,{}
1d41eefe-8b0b-4d9c-a05b-62e1a549e8a5,ocd-bill/296ee419-38db-4419-ae9d-3ec3a40abd41,latest version,,,{}
a6efa970-55e0-4346-a49d-9e73ac7e2833,ocd-bill/ccb01971-04d2-4386-a061-40ffc02eef9e,Amendment #2024-1707s,,,{}
7a6d481e-5655-4224-9284-50379bc4668b,ocd-bill/ccb01971-04d2-4386-a061-40ffc02eef9e,latest version,,,{}
140c8bd4-8775-463a-87c8-48fa4710555d,ocd-bill/f50580cc-75ee-48ef-8a73-7b042084f6fa,latest version,,,{}
96db0f80-3b3e-40af-98e4-9e41d279f0e6,ocd-bill/4e48cf92-615e-4a1f-99aa-1462acf4febf,Amendment #2024-1038h,,,{}
7035a9c9-0103-4445-a975-0b695b6c9fcd,ocd-bill/4e48cf92-615e-4a1f-99aa-1462acf4febf,latest version,,,{}
0470990f-3443-467b-83f6-350c573494b5,ocd-bill/b24acde5-eb1f-43fd-b287-277658b36320,latest version,,,{}
c03bb1fa-ef34-4c99-8a50-1ffaa16341ba,ocd-bill/50f80bf3-9c10-4715-8484-a1c25d796361,Amendment #2023-2438h,,,{}
d54657c4-82d5-45b3-93e5-7cef96bb43ee,ocd-bill/17c4b593-1c44-49be-a3ce-78cced05ab7a,Amendment #2023-2458h,,,{}
3a911470-7a43-46ce-927b-3a6dd9d82487,ocd-bill/818d0f77-988a-430c-8af1-258b7e348776,latest version,,,{}
0115030b-8a11-4fcd-861a-836505ad82cd,ocd-bill/a24321a1-60e0-4430-a0a0-bfb678ade483,Amendment #2024-0147s,,,{}
a168a73f-69b1-43c3-bf1a-2438e67696ed,ocd-bill/a24321a1-60e0-4430-a0a0-bfb678ade483,latest version,,,{}
7c3c5fa7-3cc9-499a-83db-5432f7420722,ocd-bill/061e83a6-8ca7-440d-8d19-1b90377d5fbc,Amendment #2024-1525s,,,{}
8573b615-792f-4fed-80fe-b2bd37767f36,ocd-bill/94126c15-2ccf-44ee-993c-b39f5c054927,latest version,,,{}
efb58e05-cdae-45b9-aeb6-48a7bcd53697,ocd-bill/adba3057-e936-4e3e-a8c8-1a04d0cbe6ea,latest version,,,{}
ad264b29-6526-4f22-b319-0537f23a91a4,ocd-bill/4b4bdbf3-5575-4cfb-85b8-60daf9db2b94,Amendment #2024-0099h,,,{}
5565f501-4705-4301-8b1f-471a5f382d4c,ocd-bill/4b4bdbf3-5575-4cfb-85b8-60daf9db2b94,latest version,,,{}
260b466a-c443-49c1-846d-5989629de5c6,ocd-bill/5711745c-0725-40f9-8428-0cf53d862a3c,latest version,,,{}
4b97e9b8-4217-4b67-9270-4b29f7916778,ocd-bill/8f82b2ca-918a-4bcb-8cdd-e7ef9d539be7,latest version,,,{}
6b1fd435-4522-4907-97b3-5a8a062e01f3,ocd-bill/7ca783c5-8fc9-4d7e-82ef-77fdc6560f64,latest version,,,{}
20e7941e-5eb7-41b1-b8a0-23d2f6ab1f1c,ocd-bill/71630312-0265-487e-99fc-d60e97e1e7fd,Amendment #2024-0209h,,,{}
4d95c952-7b46-474f-841f-cbd6cf608dbc,ocd-bill/b3003656-fa7f-407f-b2ce-ca9a18203819,latest version,,,{}
561916e3-899d-45e5-986c-c2258e2229df,ocd-bill/9c10e87b-4548-4c1e-8abc-ddd5bbab8679,Amendment #2024-0269h,,,{}
dcdcb726-50ef-4838-9afd-efb9dfc343b6,ocd-bill/9c10e87b-4548-4c1e-8abc-ddd5bbab8679,latest version,,,{}
4c29a542-da64-4134-9db7-bc2137df3141,ocd-bill/7798bd4d-b8fc-4b3c-99b2-a224ef89589b,latest version,,,{}
a0f11fb4-cc35-4dd3-8dcb-298f9d2226c8,ocd-bill/934e773c-3fe9-4992-afc3-ccf378afa041,Amendment #2024-1643s,,,{}
4a8a31ea-22ec-48b0-8952-d381f33fdce1,ocd-bill/934e773c-3fe9-4992-afc3-ccf378afa041,latest version,,,{}
fbe05c51-1783-46d0-87f8-291f51b69ce2,ocd-bill/71630312-0265-487e-99fc-d60e97e1e7fd,latest version,,,{}
e363ca01-4ea3-4c24-870b-bce04db16a93,ocd-bill/cf9277d2-63f5-4ccb-b52d-d0b66860632e,Amendment #2024-1561s,,,{}
470a379d-aec3-444c-b273-73aeef3240ee,ocd-bill/235a1f5f-817e-4c9e-86a6-9e45b6011f58,Amendment #2024-1560s,,,{}
