id,bill_id,organization_id,description,date,classification,order
da234b23-70d5-4316-824f-d36b25358f79,ocd-bill/09f1c3b0-359b-4422-ae0e-0747d82fb7e1,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Legislative Administration,2023-11-28,"['introduction', 'referral-committee']",0
7c850637-2280-491d-a1bd-baa05aaea616,ocd-bill/74596556-4173-472d-95ef-81f985c909de,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Education,2023-12-01,"['introduction', 'referral-committee']",0
0e53747c-dabc-43fb-855c-c6e5a670a7dd,ocd-bill/41c274dc-0abf-4e6c-bd00-cd7cb01b5231,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Criminal Justice and Public Safety  HJ 1  P. 16,2023-12-06,"['introduction', 'referral-committee']",0
cd6f94fe-51f1-4990-a7e0-d8e9188453d3,ocd-bill/2393e2cc-405d-4d72-8439-7435b464ab00,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Education,2023-11-28,"['introduction', 'referral-committee']",0
b81a5e59-21ee-4903-bf45-c0e9767401d1,ocd-bill/1ae94949-d45e-4043-920b-08981b4c7598,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Judiciary,2023-12-01,"['introduction', 'referral-committee']",0
8d84d60c-0b9e-43ca-88cd-8216278b30fd,ocd-bill/3a26336f-bd43-46c2-81bb-45211c16afe4,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/03/2024 and Referred to Judiciary;  SJ 1,2023-12-12,"['introduction', 'referral-committee']",0
304084ac-ecee-4356-8d24-f031bf6fa6db,ocd-bill/b8e126e2-ac4d-43c2-983c-56d6003d1fbe,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Commerce and Consumer Affairs  HJ 1  P. 22,2023-12-11,"['introduction', 'referral-committee']",0
e1d6c802-f2d5-4eaf-9392-d9954f9c22ea,ocd-bill/f2662a95-2a4a-4f51-9da7-1a759d2672e1,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/03/2024 and Referred to Transportation;  SJ 1,2023-12-12,"['introduction', 'referral-committee']",0
1cd7e6e1-425e-4499-947f-a540327332f7,ocd-bill/4d20a3ed-17ef-4cf1-9e04-352b6eac604a,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Commerce and Consumer Affairs  HJ 1  P. 18,2023-12-06,"['introduction', 'referral-committee']",0
d28bd2fb-61c4-451c-bcd8-adcb7baa1ef0,ocd-bill/737bb25e-dae6-408c-a6ae-7a4f674957fe,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Transportation,2023-11-27,"['introduction', 'referral-committee']",0
a917184b-cb60-4e34-ac6c-481a21281366,ocd-bill/91787cb4-9b2f-4fff-9a14-5c308618fa23,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to State-Federal Relations and Veterans Affairs  HJ 1  P. 31,2023-12-15,"['introduction', 'referral-committee']",0
e2de0019-a6b9-4c14-acbb-4eeebbd558a1,ocd-bill/6f02e07f-534e-4df7-9bc0-39a32eae75d9,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/03/2024 and Referred to Judiciary;  SJ 1,2023-12-14,"['introduction', 'referral-committee']",0
98c261d6-d954-46da-b5cb-a33d08d1118e,ocd-bill/534057cf-8627-4a0c-a5fc-7581e559fdf3,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced 01/04/2023 and referred to Labor, Industrial and Rehabilitative Services",2023-01-03,"['introduction', 'referral-committee']",0
0dec2a9a-85e8-4ed2-af51-510330980f07,ocd-bill/db3e9263-4825-48d5-bd9b-32d102112176,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/05/2023 and referred to Commerce and Consumer Affairs  HJ 2  P. 8,2023-01-09,"['introduction', 'referral-committee']",0
6a987a79-59ec-4ea2-9b7f-f174dc905cd4,ocd-bill/7d046e1e-4f43-4875-a3ed-68ebdf9fb474,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Election Law  HJ 1  P. 30,2023-12-19,"['introduction', 'referral-committee']",0
1f217eaf-41a6-43b1-af29-eed76fee92d1,ocd-bill/7b86dc49-4b2a-4bd4-86f8-82938da090ec,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Election Law  HJ 1  P. 26,2023-12-15,"['introduction', 'referral-committee']",0
f591be9d-b7b5-4860-8552-d86218bc1001,ocd-bill/cbafe274-f273-4807-b683-9d5f8deeab4e,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Election Law,2023-11-28,"['introduction', 'referral-committee']",0
ffd236a5-6922-4282-9fd0-b5b741cce921,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced 01/03/2024 and referred to Resources, Recreation and Development  HJ 1  P. 25",2023-12-15,"['introduction', 'referral-committee']",0
c5fcab9d-879a-422e-8c8f-58a8698d2553,ocd-bill/fb6065c0-1a13-48a7-8e8a-2dc642aed4c2,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/03/2024 and referred to Executive Departments and Administration,2023-11-27,"['introduction', 'referral-committee']",0
0b8313e6-5154-40eb-b2f9-b413a618f70b,ocd-bill/f9794246-dfdc-4053-b02d-cb3c9259d158,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/03/2024 and Referred to Judiciary;  SJ 1,2023-12-12,"['introduction', 'referral-committee']",0
497769de-e6be-4cc2-8082-7c9739307b75,ocd-bill/7f378f8c-93b7-40cb-9129-ce2d13455eb0,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/03/2024 and Referred to Finance;  SJ 1,2023-12-13,"['introduction', 'referral-committee']",0
15791646-bd31-455d-a5b1-0674f77de7f6,ocd-bill/6ecfc0ff-727f-47f0-b0d8-4d33bf6c011f,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/05/2023 and referred to Finance  HJ 3  P. 19,2023-01-11,"['introduction', 'referral-committee']",0
80f060e2-ff17-4e08-adff-2c5092ad3bc1,ocd-bill/e857bc59-6e35-4eb4-a27e-885113bc4557,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced (in recess of) 02/08/2024 and referred to Health, Human Services and Elderly Affairs  HJ 4  P. 47",2024-02-15,"['introduction', 'referral-committee']",0
