id,vote_event_id,option,voter_name,voter_id,note
0f70dfee-8972-4a8c-8e27-e4bba230462e,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Jordan G. Ulery,ocd-person/31f696d4-f806-4eb3-a8ce-5b1d2a2eba93,
ac028514-bf3b-473e-ab07-1d4a300a1e54,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Thomas L. Buco,ocd-person/22809c1b-0676-4ad9-8d0e-8a0a9d19063a,
da9e52b3-97e1-447b-ae15-5c93a373b087,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Jean L. Jeudy,ocd-person/f47878eb-66fe-4d01-92ea-4d3190c6183c,
79bc4f0a-19c4-436f-8990-f8302565457e,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Lucy M. Weber,ocd-person/a6790cd1-6b7a-48f9-b48c-b298929578a4,
49252146-6df7-4beb-a1de-8b80b8a25086,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Patrick T. Long,ocd-person/14d0ff58-3340-4344-bb79-c6acd5f8ba6c,
240a3714-e112-4d1f-af6f-a55408ee182d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Michael B. O'Brien,ocd-person/e15e323b-2d85-4272-9f1e-13d12b8c82f4,
0a0464e4-cac5-417d-876c-1351a9847c67,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Debra L. DeSimone,ocd-person/7ef7472f-0bda-4708-9239-76adeca1e87e,
7e9bcf15-a9c8-452b-abbf-c522e4edb704,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Larry G. Gagne,ocd-person/26d443c0-53fe-480b-bf4c-7b7a28a109e9,
c58158a8-8440-4dcc-8eb9-080bb0c7752a,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Timothy O. Horrigan,ocd-person/2a11a559-c16e-4211-82ea-215951d74c1f,
8c008c2f-6b98-47fc-a579-1b1c6c70633a,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Rick M. Ladd,ocd-person/1bd6c569-f2dd-4670-bf82-ef3ea4b15960,
811e31bf-437f-4b39-befa-259bb125d7dd,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Carol M. McGuire,ocd-person/ae3d6133-98b5-444e-b95e-2edc2f5302dc,
65b5dc6f-efeb-4ef7-86e2-0490f327c7d2,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Dianne E. Schuett,ocd-person/62ff0476-f4e6-411f-a58e-2e7963cde2ab,
7b2d8959-6671-476f-86d7-3263c1726883,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Timothy A. Soucy,ocd-person/edcefea3-7cd4-4128-92ef-b22bc4a7c0b4,
5e224a1d-da03-4627-a999-2339b63d03e4,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Gregory G. Hill,ocd-person/852df922-484b-412f-a604-c2d67efee5ec,
