id,bill_id,note,date,classification,extras
2b778424-8115-4dfd-926d-8532e0f3bd9b,ocd-bill/09a5a1d4-edc8-4d63-89b7-59edfd2551ff,Amendment #2022-1268s,,,{}
91726e0d-fee3-48ef-a397-fc0415996bf8,ocd-bill/914a6eb8-4594-4a47-a8af-7b116e56b945,Amendment #2022-0854h,,,{}
c6a6a3b8-086b-434f-859d-4a07bfaaa0aa,ocd-bill/0b36b53a-82a9-4ff8-8ea1-47fa629a991d,Amendment #2022-0664s,,,{}
9fb87afe-03fc-488a-ac95-8d2561d94332,ocd-bill/3d58015a-34e0-4ad8-aeb7-52805dcdb501,latest version,,,{}
a4b900e8-31bc-48a1-b5f5-5fbf33200cdc,ocd-bill/c363b780-9ebd-4fc2-9315-31362bfdf4a8,Amendment #2022-1553s,,,{}
ab6c3e6b-1d64-432a-97de-66606a238e01,ocd-bill/a6c74421-fadb-4cac-b51f-d4adc12e889e,Amendment #2022-1943s,,,{}
85f5d0ee-7006-42d0-9df5-437a097ea3c1,ocd-bill/3cd1cac5-90ec-46d4-936b-749eb6f544de,Amendment #2022-0940h,,,{}
5aad4cbf-9a65-4511-a5b0-be028a0caab9,ocd-bill/fff66fee-185b-4968-aad2-39f530c2a544,Amendment #2022-0140h,,,{}
693d8f67-c677-4524-8cbd-5c5a65d95030,ocd-bill/34d79c26-e4ea-4988-9be7-d64dd636c6a5,Amendment #2022-1329h,,,{}
dcc260a1-a0dc-4a79-b9fb-ceb784c2592e,ocd-bill/3e99f2bb-39a2-42dc-b708-ae6260399200,Amendment #2022-1440h,,,{}
517dede3-f663-408c-ab4a-075cba25e83d,ocd-bill/ca996c03-4907-4286-8ada-0371357561f1,Amendment #2022-1100s,,,{}
ced2ac1c-a07d-4cca-ac86-9ed928e0e894,ocd-bill/90a007ec-638f-448f-91a4-0b02b6b1b0b1,Amendment #2022-0321s,,,{}
681176f3-9fca-436e-ac5a-8562926aa306,ocd-bill/fc3cf704-615a-4cfe-b23b-f5558f9f51c9,Amendment #2022-1366s,,,{}
9d7101fe-e6a1-432a-a31b-57c7716edbb2,ocd-bill/f0281b6f-058c-4a3f-b68b-b758b803cfdd,Amendment #2022-1764h,,,{}
a4c16cad-9c6a-4f9a-8d7a-c217260e999c,ocd-bill/d659a1ea-2b53-4eed-9118-7fb605b7474f,Amendment #2022-1650s,,,{}
c871a809-9b68-4b53-a7a8-bbdb532b93fd,ocd-bill/66cbb159-af74-4231-83fb-e2ec5dfe1392,Amendment #2022-1786h,,,{}
d79f263f-d77e-492d-8076-a1635acaee33,ocd-bill/650a5df8-e179-4c37-a616-2c465bf3869a,Amendment #2022-1870h,,,{}
ebddc77c-c542-491a-b057-e94d0a226bc2,ocd-bill/e420bf9d-670e-421e-97cc-b514f4752452,Amendment #2022-0450h,,,{}
1a01b16f-e367-4d06-92e4-7123fddeed6f,ocd-bill/54d9c11a-42e3-47f7-ba4b-65ab37e7f06e,Amendment #2022-1837s,,,{}
42eb30f0-503c-4f8c-9088-978c38fe0d6f,ocd-bill/1d61fc1c-d633-4eb0-9868-deeb97283fec,Amendment #2022-0887h,,,{}
be12d000-6d0c-4b27-9be5-16e92fee1cb4,ocd-bill/f0ba6b0d-2a8f-458b-864e-3c309bcc35a0,latest version,,,{}
162c1d87-7164-4917-bf53-ef4bd7d38efe,ocd-bill/33939f23-5a7f-49b3-ae6d-c528f203cfb8,Amendment #2021-0361h,,,{}
73250d64-a648-478b-bbad-8b20c81ab06f,ocd-bill/33939f23-5a7f-49b3-ae6d-c528f203cfb8,latest version,,,{}
9a9d88ff-4567-4c96-9df4-e7239ff570e3,ocd-bill/e799f9eb-24e0-41a5-8b5a-5294457329a5,latest version,,,{}
7009fbd0-3436-4cb4-893a-df17adf6fccf,ocd-bill/e9f1f0de-7d2b-4dfa-92db-12aa18541436,Amendment #2022-1908s,,,{}
63847c44-621c-4a65-9240-8e0c7e23fac3,ocd-bill/e9f1f0de-7d2b-4dfa-92db-12aa18541436,latest version,,,{}
e93f3997-97d0-49ed-a203-fe1a817a0f70,ocd-bill/f80980ef-044a-414e-9436-b32d24fe1c4a,latest version,,,{}
a270c0b6-0dbc-483b-b1da-3e972dd21910,ocd-bill/8c49129e-391c-4da7-8f41-2105d317114d,Amendment #2021-0256h,,,{}
a6137a6b-2bb7-452c-91e4-0ac486b4e711,ocd-bill/8c49129e-391c-4da7-8f41-2105d317114d,latest version,,,{}
a5db0010-8929-4c3a-9f52-3794428796f8,ocd-bill/08caccdc-0516-4501-9fcd-52db9d28db4a,Amendment #2021-0249h,,,{}
d087ec78-6196-4cf4-b983-bcd22b2a61da,ocd-bill/08caccdc-0516-4501-9fcd-52db9d28db4a,latest version,,,{}
2c79692c-2d86-4485-ba10-6108230d85e6,ocd-bill/391c39ea-55a1-4660-9e39-6c520b8f6c75,latest version,,,{}
eba82f49-bfe0-4752-af04-fe2bf7062ac1,ocd-bill/28888665-e010-4894-8700-8e8abf2389ba,latest version,,,{}
3a4661ed-eac0-4db7-bb67-9445a74a18a5,ocd-bill/0b34d73d-3fc9-4ced-b553-382036576a47,latest version,,,{}
fac36a1d-1ee2-4280-ab8c-eea9c8ff3118,ocd-bill/59583d1c-ecff-4977-8c82-6ee22c77743a,Amendment #2022-1136s,,,{}
aafd9ce4-e41b-4dec-a33a-430d5d860d72,ocd-bill/59583d1c-ecff-4977-8c82-6ee22c77743a,latest version,,,{}
fd639ec4-a068-44b9-9a63-c1d207a87986,ocd-bill/952a580d-f177-4acc-8312-8f817785c9b5,latest version,,,{}
8a4dff3b-5283-4a00-ad96-cadaed7f59d6,ocd-bill/8a2b76ec-9066-4aee-a2f5-5868d794325a,Amendment #2021-2211h,,,{}
965e52b4-a5de-4a69-9c11-f7a6cfdcf9ca,ocd-bill/894d8642-b544-46b7-a1bb-cc085edbd6c0,latest version,,,{}
8d1114d6-9426-4b77-9f8d-0ce573edf5fe,ocd-bill/a75579ac-e1d7-4b0c-966c-84ef2935ddbb,Amendment #2022-1423s,,,{}
c3cf82e7-e7ef-4340-9562-07f22eb4e375,ocd-bill/a75579ac-e1d7-4b0c-966c-84ef2935ddbb,latest version,,,{}
