id,vote_event_id,option,voter_name,voter_id,note
d8bff5d8-e365-40e7-8848-f2dab1254148,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,no,Lou D'Allesandro,ocd-person/87c48788-817d-408b-a1e1-ebe1c9fd893d,
b80b41a3-6d3a-4038-bdc2-5bf8071c1c61,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,Chuck Morse,ocd-person/72b8f708-a22d-477d-9c55-e5d14b8308a6,
1f6462aa-0396-44be-99c5-5ecb053f8fb3,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,Sharon M Carson,ocd-person/00964fc0-dd57-44c3-87bf-b6d5bbc34560,
efa9e740-6f91-4e60-afc6-17d4c2fcd860,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,Jeb Bradley,ocd-person/3f5455e8-256e-4442-9c13-bc14f62ce76f,
57c64276-ce7f-4082-b253-26b3f23d1acc,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,no,David H Watters,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,
b66a764e-cb1c-4a9d-b08e-d3c7d85e0c0d,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,John Reagan,ocd-person/f516d40a-3676-4437-8285-a931d7c2885b,
e6d24b89-4a0f-4eff-8db1-8b1023465afc,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,no,Donna M. Soucy,ocd-person/bfbbacfd-e12a-4e07-970e-c2c2c006f4a2,
cefd18b1-3063-4171-ad5b-fd588f916278,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,Gary L. Daniels,ocd-person/4c8ac73e-dca4-48ca-b50c-25d0d41425bc,
250639ec-917c-4840-bf90-d26d48ea4f04,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,no,Kevin A. Avard,ocd-person/b99b0bbb-4710-43c7-a6b5-0e04524eedf0,
9d84ff12-0af9-4ea9-8583-61122f44b3a7,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,Regina Birdsell,ocd-person/461c9024-c8c3-44a5-91d6-015a6587db5f,
