id,bill_id,organization_id,description,date,classification,order
45dd7be4-2271-4646-b9b6-ea23de3de131,ocd-bill/876cedca-c8be-4979-8478-5c1b026bec8d,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced (in recess of) 01/06/2021 and referred to Resources, Recreation and Development  HJ 2  P. 54",2021-01-12,"['introduction', 'referral-committee']",0
e50347e0-cbd2-48e2-afc0-211d1ca75c19,ocd-bill/6a46cae7-98d5-4fff-9f0a-080241ad4b1a,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/05/2022 and referred to Executive Departments and Administration,2021-11-19,"['introduction', 'referral-committee']",0
3f0848fe-ec9a-4554-9244-d5eb0f267d23,ocd-bill/d41d419d-62b4-4e43-90cf-bd21ebe5602b,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced 01/05/2022 and referred to Judiciary,2021-12-09,"['introduction', 'referral-committee']",0
dd944569-31d6-4c21-864d-30e219bbd66b,ocd-bill/32ed1c76-ba3b-4455-ac84-0aae621e44f8,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/05/2022 and Referred to Commerce;  SJ 1,2021-12-14,"['introduction', 'referral-committee']",0
840e8832-c8f2-4b47-ba7d-eeb1ab5c74bf,ocd-bill/c604e4fe-2469-45e8-a303-70f9bba3762b,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/05/2022 and Referred to Health and Human Services;  SJ 1,2021-12-14,"['introduction', 'referral-committee']",0
0aec5153-d7f8-4cf7-87c3-2cb788d7568f,ocd-bill/1057c75c-20c1-4ae3-b48f-f03689372c89,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Commerce and Consumer Affairs  HJ 2  P. 44,2021-01-09,"['introduction', 'referral-committee']",0
0acb64d7-31d2-40cc-9d3a-5d81d413b847,ocd-bill/ca996c03-4907-4286-8ada-0371357561f1,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,To Be  Introduced 01/05/2022 and Referred to Election Law and Municipal Affairs;  SJ 1,2021-12-30,"['introduction', 'referral-committee']",0
2f34e819-c921-4524-b5fb-38a1a2913078,ocd-bill/a53f1cab-31f4-4da7-819d-8119603466e4,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Legislative Administration  HJ 2  P. 46,2021-01-09,"['introduction', 'referral-committee']",0
67c4a16b-67f8-42e8-9778-3fa0d4dd843a,ocd-bill/4e6b2ffa-dffa-46f8-b197-7d532ad31e17,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,"Introduced 01/05/2022 and referred to Health, Human Services and Elderly Affairs",2021-12-01,"['introduction', 'referral-committee']",0
ca58a7a6-131f-4f74-a9a9-b0687e413621,ocd-bill/c04f9104-0248-4562-b584-6b0428869430,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,Introduced (in recess of) 01/06/2021 and referred to Election Law  HJ 2  P. 42,2021-01-09,"['introduction', 'referral-committee']",0
