id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/09a5a1d4-edc8-4d63-89b7-59edfd2551ff,SB 452,relative to lead in drinking water in schools and licensed child care facilities.,['bill'],[],2022,New Hampshire,upper
ocd-bill/9f67149b-09b6-45fd-b45f-c0a80fbbdaa8,HB 1213,relative to legal holidays.,['bill'],[],2022,New Hampshire,lower
ocd-bill/8a405871-3581-445c-ab67-9de33e691ef5,HB 1543,relative to the voter registration process.,['bill'],[],2022,New Hampshire,lower
ocd-bill/f4000c63-2b96-46bb-ad97-3ec7a81bb7ef,SB 437,relative to the additional municipal fee for transportation improvements.,['bill'],[],2022,New Hampshire,upper
ocd-bill/b8e6939a-50a7-47f7-bd6f-e7ab624630a1,HB 1499,relative to chartered public school eligibility for state school building aid.,['bill'],[],2022,New Hampshire,lower
ocd-bill/34e9e49d-4a6e-4dd7-baf4-09909eca7cb6,HB 1247,relative to folded ballots.,['bill'],[],2022,New Hampshire,lower
ocd-bill/914a6eb8-4594-4a47-a8af-7b116e56b945,HB 1035,relative to exemptions from school vaccine mandates.,['bill'],[],2022,New Hampshire,lower
ocd-bill/368cc64a-c646-4096-a333-8bb076b2ccf7,SB 359,requiring the commissioner of the department of administrative services to conduct an inventory of all state real estate.,['bill'],[],2022,New Hampshire,upper
ocd-bill/21f12676-8d0c-480a-a690-668f397c4c2c,HB 1114,relative to education service providers under the education freedom account program.,['bill'],[],2022,New Hampshire,lower
ocd-bill/0b36b53a-82a9-4ff8-8ea1-47fa629a991d,SB 258,relative to the graves of African Americans alive during the period of American enslavement.,['bill'],[],2022,New Hampshire,upper
ocd-bill/059822ad-1618-436b-b2ce-ea219cbf927d,HB 1285,relative to the multi-use energy data platform.,['bill'],[],2022,New Hampshire,lower
ocd-bill/3d58015a-34e0-4ad8-aeb7-52805dcdb501,HR 23,Supporting the New Hampshire Presidential Primary”,['resolution'],[],2022,New Hampshire,lower
ocd-bill/c363b780-9ebd-4fc2-9315-31362bfdf4a8,HB 1333,"relative to the definition of a ""way"" for the purposes of driving under the influence of drugs or liquor and administrative license suspensions.",['bill'],[],2022,New Hampshire,lower
ocd-bill/a6c74421-fadb-4cac-b51f-d4adc12e889e,HB 1431,establishing the parental bill of rights.,['bill'],[],2022,New Hampshire,lower
ocd-bill/3cd1cac5-90ec-46d4-936b-749eb6f544de,HB 1459,relative to recycling solar panels.,['bill'],[],2022,New Hampshire,lower
ocd-bill/fff66fee-185b-4968-aad2-39f530c2a544,HB 1331,relative to power line maintenance and construction.,['bill'],[],2022,New Hampshire,lower
ocd-bill/34d79c26-e4ea-4988-9be7-d64dd636c6a5,SB 398,relative to the advisory committee to study the state building and fire codes.,['bill'],[],2022,New Hampshire,upper
ocd-bill/3e99f2bb-39a2-42dc-b708-ae6260399200,SB 458,relative to the Sununu youth services center and operation of a replacement secure facility.,['bill'],[],2022,New Hampshire,upper
ocd-bill/ca996c03-4907-4286-8ada-0371357561f1,SB 427,"modifying the absentee voter registration process, absentee ballot application, and absentee ballot voting process.",['bill'],[],2022,New Hampshire,upper
