id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/251630c9-db01-489a-8ba0-4c79610265b9,,Adopt Amendment,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/86dd8fb4-a55c-4656-b03b-828dc975f027,,New Hampshire,2022
ocd-vote/aedfa840-0ebe-46fb-a71e-c14b11a7b20b,,Adopt Amendment,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/59583d1c-ecff-4977-8c82-6ee22c77743a,,New Hampshire,2022
ocd-vote/441619d5-c1d8-444b-8781-f14ddcbd4973,,Adopt Amendment,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/86dd8fb4-a55c-4656-b03b-828dc975f027,,New Hampshire,2022
ocd-vote/3b3f9f95-f358-42ed-8014-f8af1f034c38,,Ought to Pass w/Amendment,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/e1768dd2-89ef-43f9-a098-3a5366586d3b,,New Hampshire,2022
ocd-vote/d4263753-9ee9-4c20-8650-306d5d68101b,,Committee Amendment 2292s,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/4c8dfa4c-d29c-4077-8adf-1e4d3488aa28,,New Hampshire,2022
ocd-vote/88a79a34-e2d7-4049-96ac-746196ae1a68,,OTP,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/5b2ee88e-6258-46e3-83ae-4f549843195a,,New Hampshire,2022
ocd-vote/e3855f7f-edab-4e34-a497-be801aac83b9,,Refer to Interim Study,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/08caccdc-0516-4501-9fcd-52db9d28db4a,,New Hampshire,2022
ocd-vote/b5a1dd95-d59a-46d5-8213-38df1d16bbf7,,Ought to Pass w/Amendment,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/c43f9fc9-bfce-470b-b920-3620a0f537b0,,New Hampshire,2022
ocd-vote/f3cc44ed-376d-4cbb-a8ce-cd5c3e2dacc1,,Adopt Amendment,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/59583d1c-ecff-4977-8c82-6ee22c77743a,,New Hampshire,2022
ocd-vote/afa7da42-0292-4f0a-9ba6-eef93821b1db,,Ought to Pass w/Amendment,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/ca501f53-b16e-4398-acba-959dbaabe9cc,,New Hampshire,2022
ocd-vote/74b63092-cc12-4f2b-a76f-e874183e15b7,,Inexpedient to Legislate,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/d5f0bf89-777f-49ff-b508-1cce27fbc291,,New Hampshire,2022
ocd-vote/f3aade70-caaa-40f0-9c48-7c6267093df7,,ITL,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/7f675831-5f14-4e45-b775-47e9e5409de2,,New Hampshire,2022
ocd-vote/afd181a3-679e-4487-8c9a-2900d7fe59d5,,Floor Amendment 2307s,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/c43f9fc9-bfce-470b-b920-3620a0f537b0,,New Hampshire,2022
ocd-vote/0121de81-3d26-47d5-abde-39ae851cc2ea,,OTPA,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/86dd8fb4-a55c-4656-b03b-828dc975f027,,New Hampshire,2022
ocd-vote/496f358a-73f3-4163-b7a4-d97c8b01fca8,,Committee Amendment 2286s,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/caf46765-6168-4f3c-9bc1-56bff1b0b034,,New Hampshire,2022
ocd-vote/0ea9c456-570f-4a29-a45e-452dbde01ad9,,Ought to Pass w/Amendment,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/eb05316b-777b-4507-815a-4a0b5f15e899,,New Hampshire,2022
ocd-vote/9436ab08-b163-4119-b801-47e369866c66,,Floor Amendment 2311s,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/eb05316b-777b-4507-815a-4a0b5f15e899,,New Hampshire,2022
ocd-vote/be99f587-5405-477a-9f50-58546ced4e84,,Ought to Pass w/Amendment,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/4c8dfa4c-d29c-4077-8adf-1e4d3488aa28,,New Hampshire,2022
ocd-vote/980db2aa-a0ac-4daf-82e6-ccb86d35ea8f,,Adopt Amendment,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/44da8023-0b3e-4592-9343-5a5611e35f67,,New Hampshire,2022
ocd-vote/d2f4275e-d438-4b95-a408-707e0fbccec0,,OTPA,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/59583d1c-ecff-4977-8c82-6ee22c77743a,,New Hampshire,2022
ocd-vote/80014b3e-15bf-4c2f-a5a5-95e273f28c37,,Committee Amendment 2288s,['passage'],2022-01-05T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/c43f9fc9-bfce-470b-b920-3620a0f537b0,,New Hampshire,2022
ocd-vote/6fab68b1-eaab-4d44-91eb-c11bb146a4b3,,Floor Amendment 2302s,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/c43f9fc9-bfce-470b-b920-3620a0f537b0,,New Hampshire,2022
ocd-vote/338fee39-f907-4bcc-97a7-1af76e59f96c,,Table,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/59583d1c-ecff-4977-8c82-6ee22c77743a,,New Hampshire,2022
ocd-vote/91db5b84-768e-45a7-8023-dcc625cca6e4,,Floor Amendment 2302s,['passage'],2022-01-05T00:00:00-05:00,fail,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/c43f9fc9-bfce-470b-b920-3620a0f537b0,,New Hampshire,2022
