id,vote_event_id,option,value
20b983e1-fcd0-4181-9918-31dd413d7d36,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,no,11
4dd16b31-cbf5-4e69-a58f-36a131f2d081,ocd-vote/12dfe6f7-6e7f-48c2-9833-441c59918523,yes,13
a9e55f01-2909-4f75-aaff-62331642ee8e,ocd-vote/ca7b99c1-7d02-40e5-85ef-3e99362a0dff,other,65
8f087b47-ad43-47cc-b7e4-256ae92cf0a8,ocd-vote/ca7b99c1-7d02-40e5-85ef-3e99362a0dff,no,175
d81bc971-da12-4d16-9a57-eb1a17724a63,ocd-vote/ca7b99c1-7d02-40e5-85ef-3e99362a0dff,yes,145
d0242ef9-6f13-4abd-8d02-72d029980fca,ocd-vote/fdbfff3a-545b-44ae-8bed-06b8ad6d22b2,other,40
38842bf2-65e7-4541-8348-7886a5d8fa97,ocd-vote/fdbfff3a-545b-44ae-8bed-06b8ad6d22b2,no,145
26c2b4bc-bda1-4fe1-a784-4c9b3804c31d,ocd-vote/fdbfff3a-545b-44ae-8bed-06b8ad6d22b2,yes,203
815d8d2d-5059-4307-b91e-a8326bc9b24e,ocd-vote/86c5725a-b76b-4412-baa5-67ae293effdb,other,57
24bd2ee7-8027-468b-b235-3a4221848e40,ocd-vote/86c5725a-b76b-4412-baa5-67ae293effdb,no,121
1e736147-70c6-4502-84cb-c23f62b786d0,ocd-vote/86c5725a-b76b-4412-baa5-67ae293effdb,yes,209
efa44d1e-fcf6-4dc7-a13d-9fa2e074790a,ocd-vote/c7d5f4b0-5e76-4224-80b9-4a9bb55a268f,other,55
a6487b40-54f6-49d8-8631-5a171593f5b4,ocd-vote/c7d5f4b0-5e76-4224-80b9-4a9bb55a268f,no,170
6866c586-6f20-4e6c-bbd0-ff8bb99786c4,ocd-vote/c7d5f4b0-5e76-4224-80b9-4a9bb55a268f,yes,162
2e6cd9c9-017c-451b-a38f-ac6030b36721,ocd-vote/7094104b-6f69-4dc0-b98f-607df3b71940,other,51
dadbc313-5395-47df-a4e4-91025c2452da,ocd-vote/7094104b-6f69-4dc0-b98f-607df3b71940,no,100
3d8c6bd5-4e26-497a-9764-06f434fe074b,ocd-vote/7094104b-6f69-4dc0-b98f-607df3b71940,yes,237
9e98f8d5-9232-4bf5-8fa0-0826daf42a88,ocd-vote/b211e64e-9ae4-4f13-971a-e0b28a83ac0e,no,10
b62aa8aa-fd91-4930-9657-767d5130b7ed,ocd-vote/b211e64e-9ae4-4f13-971a-e0b28a83ac0e,yes,14
53ebb58d-67c8-4dbb-b6c2-c055ca794c62,ocd-vote/eabde067-9276-4107-88ef-1bb52f8f83f5,other,1
4ed91832-33e3-47da-9997-46a2f7784bf2,ocd-vote/eabde067-9276-4107-88ef-1bb52f8f83f5,no,9
004c66b5-d18d-4ca5-a47e-84ab03db9bdc,ocd-vote/eabde067-9276-4107-88ef-1bb52f8f83f5,yes,14
5c853619-1fe9-48b5-8217-5380cad7bc37,ocd-vote/ce1e80a2-ef68-427e-b9a4-59d25ff157f6,other,52
caf3a294-52ec-404a-9eba-bdf9632cb3bc,ocd-vote/ce1e80a2-ef68-427e-b9a4-59d25ff157f6,no,216
3c54cbf6-c5a5-4e0a-8145-44f03860b01e,ocd-vote/ce1e80a2-ef68-427e-b9a4-59d25ff157f6,yes,118
0f525933-b799-4c1e-ba19-4f4c9633294a,ocd-vote/de15d853-631b-44e7-a61c-7f895997a432,no,0
fb9e2461-d4c3-4084-8815-8ca3f30ce6e7,ocd-vote/de15d853-631b-44e7-a61c-7f895997a432,yes,24
031bcd82-748a-42e4-8419-3b55aa5b1452,ocd-vote/8e8bdb63-f77b-4560-9714-dc0de20dd680,other,82
c9c144d0-468a-47a1-b443-9edecac5c952,ocd-vote/8e8bdb63-f77b-4560-9714-dc0de20dd680,no,103
3dd6104d-af6a-43a1-8a23-4bffc925ec8f,ocd-vote/8e8bdb63-f77b-4560-9714-dc0de20dd680,yes,201
811776c4-03e4-44cf-86b9-e7b78e3adc2e,ocd-vote/fd96333c-1c51-44d1-8ae0-4236aaadafb1,no,11
f0f92d43-049a-44a5-a2b0-258a2aecff39,ocd-vote/fd96333c-1c51-44d1-8ae0-4236aaadafb1,yes,13
31e4efde-2c51-4e34-a9e6-35b6871f50b9,ocd-vote/92798316-7ee3-4289-85ea-0fbe43988180,other,47
3fbd89b7-f5c3-44e9-8b07-a00058ac6d56,ocd-vote/92798316-7ee3-4289-85ea-0fbe43988180,no,156
ef54f6fd-22f2-4d2c-94e0-77294a65d2c6,ocd-vote/92798316-7ee3-4289-85ea-0fbe43988180,yes,187
7465374e-1caa-4c66-97cc-9d8872a85670,ocd-vote/e9d88e2f-4e7e-4d02-94b6-b638e3e0f939,other,56
8681d9d0-f54c-4441-af51-d1c088e91734,ocd-vote/e9d88e2f-4e7e-4d02-94b6-b638e3e0f939,no,155
a2f44b82-e9cc-4e44-a66d-d4af3cf55b81,ocd-vote/e9d88e2f-4e7e-4d02-94b6-b638e3e0f939,yes,176
a834fd00-e0de-4c5e-95da-87dc6d116ba2,ocd-vote/37ecf02a-ae41-4e1e-b99c-fc048aa2fba5,no,175
4536242d-ceb5-4394-a74b-66736825a18e,ocd-vote/37ecf02a-ae41-4e1e-b99c-fc048aa2fba5,yes,178
17193c6c-08fc-47be-afa5-8b8074e12ba7,ocd-vote/ad87bdc6-b077-44d4-9524-81eae4f273a5,other,62
8e0c814f-b146-4b26-9be8-e5bc7e9ef69a,ocd-vote/ad87bdc6-b077-44d4-9524-81eae4f273a5,no,90
8b3454b4-cdf9-47d2-ac91-36a4257502a7,ocd-vote/ad87bdc6-b077-44d4-9524-81eae4f273a5,yes,233
323a5b37-f826-4195-8767-8a8a8c7fe14e,ocd-vote/4ab70305-10fe-4ac4-9709-ae0c1b05d28c,other,68
c4d1877d-8015-461f-97b8-49c2061b1c48,ocd-vote/4ab70305-10fe-4ac4-9709-ae0c1b05d28c,no,155
b15091f0-f783-4aa3-8d48-7bf5db686223,ocd-vote/4ab70305-10fe-4ac4-9709-ae0c1b05d28c,yes,164
b094e6ea-1c7d-4fb7-9181-b7ae50d6c9ea,ocd-vote/ba55c6ab-c758-4504-80d8-5930a018ffa5,no,176
f2b63466-228c-406e-8b13-cbff125ab655,ocd-vote/ba55c6ab-c758-4504-80d8-5930a018ffa5,yes,177
8a75fe61-8a5c-4a2b-8378-27f66945fa73,ocd-vote/5cc2ac21-d7fa-47d5-84a6-4e69a0808310,other,58
bca3d32c-44f6-4bd3-b6af-47fef5efacdf,ocd-vote/5cc2ac21-d7fa-47d5-84a6-4e69a0808310,no,181
0e29040d-e07a-4cab-9b27-bcec45315b1e,ocd-vote/5cc2ac21-d7fa-47d5-84a6-4e69a0808310,yes,148
c0769cea-a6f1-4f4c-af79-85a5ba52e651,ocd-vote/8ed2c12d-27bd-4c38-b91c-6471d6d4a666,other,57
13da451e-f00b-48a2-985b-8aa4ee24ae62,ocd-vote/8ed2c12d-27bd-4c38-b91c-6471d6d4a666,no,155
068910bf-e06b-4419-9f6c-fa443218b975,ocd-vote/8ed2c12d-27bd-4c38-b91c-6471d6d4a666,yes,175
effd6203-bfc2-45f0-a200-8c71949afb32,ocd-vote/53462e02-32f7-40b0-a3b9-93fda97ca796,other,54
390f05e3-7e5c-47fb-974e-9aca3e759bf7,ocd-vote/53462e02-32f7-40b0-a3b9-93fda97ca796,no,184
5acbff7f-15e2-4b98-a4b1-c760a0935a5a,ocd-vote/53462e02-32f7-40b0-a3b9-93fda97ca796,yes,147
0c2d54e5-10ed-4134-8d86-6b4de944efb0,ocd-vote/99d2e443-4e5b-402f-958b-ccc04b23dda7,other,1
4c46b95b-9d39-441f-a153-ce328603942d,ocd-vote/99d2e443-4e5b-402f-958b-ccc04b23dda7,no,10
f980198f-bdbc-4a60-a513-d43db42e63c5,ocd-vote/99d2e443-4e5b-402f-958b-ccc04b23dda7,yes,13
cff2e5fe-f633-4f92-861c-04a009639621,ocd-vote/db4ecd02-2455-4ca8-bfbb-2ea0377aa1b4,other,53
f9e2cbe2-9dc4-4a07-a4d8-939c10e777bd,ocd-vote/db4ecd02-2455-4ca8-bfbb-2ea0377aa1b4,no,177
c403ebeb-6ec5-4f57-a4f4-4a7a14fe4f36,ocd-vote/db4ecd02-2455-4ca8-bfbb-2ea0377aa1b4,yes,158
86f24285-1ab7-40e2-a0ff-63a4152f56b9,ocd-vote/b616325c-ea72-41a9-a1a3-50e969cee99d,no,173
879d6e61-53dd-4b80-866c-880f166435db,ocd-vote/b616325c-ea72-41a9-a1a3-50e969cee99d,yes,174
