session,bill_identifier,vote_kind,chamber_or_committee,motion,date,result,voter_name,vote,party,party_source,minutes_url
82,SB445,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, May 9, 2023 3:30 PM",pass,"Lange, Roberta",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/1069.pdf
82,SB445,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, May 9, 2023 3:30 PM",pass,"Stone, Jeff",nay,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/1069.pdf
82,SB445,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, May 9, 2023 3:30 PM",pass,"Titus, Robin L. Deputy",nay,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/1069.pdf
82,SB45,committee_hearing,Senate Finance,"Heard, No Action","Tuesday, March 28, 2023 8:00 AM","Heard, No Action",,,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/630.pdf
82,SB45,committee_hearing,Assembly Health and Human Services,Mentioned no jurisdiction,"Monday, March 6, 2023 1:30 PM",Mentioned no jurisdiction,,,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/HHS/Final/362.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Backus, Shea",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Anderson, Natha C.",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Brown-May, Tracy",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Miller, Cameron (C.H.)",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Watts, Howard",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Dickman, Jill",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Kasama, Heidi",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"O’Neill, PK",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"II, Gregory T. Hafen",yea,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Jauregui, Sandra",absent,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Assembly Ways and Means,Heard; Do pass,"Friday, June 2, 2023 10:00 AM",pass,"Yeager, Steve",absent,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1347.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Loop, Marilyn Dondero",yea,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Cannizzaro, Nicole J.",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Harris, Dallas",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Neal, Dina",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Nguyen, Rochelle T.",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Goicoechea, Pete",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"O'Gara, Heidi Seevers",yea,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Finance,AMEND DO PASS AS AMENDED S,"Thursday, May 25, 2023 8:00 AM",pass_unanimous,"Titus, Robin L. Deputy",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1266.pdf
82,SB45,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, February 14, 2023 3:30 PM",pass_unanimous,"Doñate, Fabian",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/182.pdf
82,SB45,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, February 14, 2023 3:30 PM",pass_unanimous,"Nguyen, Rochelle T.",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/182.pdf
82,SB45,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, February 14, 2023 3:30 PM",pass_unanimous,"Lange, Roberta",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/182.pdf
82,SB45,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, February 14, 2023 3:30 PM",pass_unanimous,"Titus, Robin L. Deputy",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/182.pdf
82,SB45,committee_work_session,Senate Health and Human Services,DO PASS S,"Tuesday, February 14, 2023 3:30 PM",pass_unanimous,"Stone, Jeff",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/HHS/Final/182.pdf
82,SB481,committee_hearing,Senate Finance,Not Heard,"Wednesday, May 17, 2023 8:00 AM",Not Heard,,,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1092.pdf
82,SB493,committee_hearing,Senate Finance,"Heard, No Action","Monday, May 15, 2023 8:00 AM","Heard, No Action",,,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Senate/FIN/Final/1089.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
